chunk_id,chunk_x,chunk_y,world_x0,world_y0,world_x1,world_y1
A1,0,0,0,0,1024,1024
B1,1,0,1024,0,2048,1024
C1,2,0,2048,0,3072,1024
D1,3,0,3072,0,4096,1024
E1,4,0,4096,0,5120,1024
F1,5,0,5120,0,6144,1024
G1,6,0,6144,0,7168,1024
H1,7,0,7168,0,8192,1024
I1,8,0,8192,0,9216,1024
J1,9,0,9216,0,10240,1024
K1,10,0,10240,0,11264,1024
L1,11,0,11264,0,12288,1024
M1,12,0,12288,0,13312,1024
N1,13,0,13312,0,14336,1024
O1,14,0,14336,0,15360,1024
P1,15,0,15360,0,16384,1024
Q1,16,0,16384,0,17408,1024
R1,17,0,17408,0,18432,1024
S1,18,0,18432,0,19456,1024
T1,19,0,19456,0,20480,1024
U1,20,0,20480,0,21504,1024
V1,21,0,21504,0,22528,1024
W1,22,0,22528,0,23552,1024
X1,23,0,23552,0,24576,1024
A2,0,1,0,1024,1024,2048
B2,1,1,1024,1024,2048,2048
C2,2,1,2048,1024,3072,2048
D2,3,1,3072,1024,4096,2048
E2,4,1,4096,1024,5120,2048
F2,5,1,5120,1024,6144,2048
G2,6,1,6144,1024,7168,2048
H2,7,1,7168,1024,8192,2048
I2,8,1,8192,1024,9216,2048
J2,9,1,9216,1024,10240,2048
K2,10,1,10240,1024,11264,2048
L2,11,1,11264,1024,12288,2048
M2,12,1,12288,1024,13312,2048
N2,13,1,13312,1024,14336,2048
O2,14,1,14336,1024,15360,2048
P2,15,1,15360,1024,16384,2048
Q2,16,1,16384,1024,17408,2048
R2,17,1,17408,1024,18432,2048
S2,18,1,18432,1024,19456,2048
T2,19,1,19456,1024,20480,2048
U2,20,1,20480,1024,21504,2048
V2,21,1,21504,1024,22528,2048
W2,22,1,22528,1024,23552,2048
X2,23,1,23552,1024,24576,2048
A3,0,2,0,2048,1024,3072
B3,1,2,1024,2048,2048,3072
C3,2,2,2048,2048,3072,3072
D3,3,2,3072,2048,4096,3072
E3,4,2,4096,2048,5120,3072
F3,5,2,5120,2048,6144,3072
G3,6,2,6144,2048,7168,3072
H3,7,2,7168,2048,8192,3072
I3,8,2,8192,2048,9216,3072
J3,9,2,9216,2048,10240,3072
K3,10,2,10240,2048,11264,3072
L3,11,2,11264,2048,12288,3072
M3,12,2,12288,2048,13312,3072
N3,13,2,13312,2048,14336,3072
O3,14,2,14336,2048,15360,3072
P3,15,2,15360,2048,16384,3072
Q3,16,2,16384,2048,17408,3072
R3,17,2,17408,2048,18432,3072
S3,18,2,18432,2048,19456,3072
T3,19,2,19456,2048,20480,3072
U3,20,2,20480,2048,21504,3072
V3,21,2,21504,2048,22528,3072
W3,22,2,22528,2048,23552,3072
X3,23,2,23552,2048,24576,3072
A4,0,3,0,3072,1024,4096
B4,1,3,1024,3072,2048,4096
C4,2,3,2048,3072,3072,4096
D4,3,3,3072,3072,4096,4096
E4,4,3,4096,3072,5120,4096
F4,5,3,5120,3072,6144,4096
G4,6,3,6144,3072,7168,4096
H4,7,3,7168,3072,8192,4096
I4,8,3,8192,3072,9216,4096
J4,9,3,9216,3072,10240,4096
K4,10,3,10240,3072,11264,4096
L4,11,3,11264,3072,12288,4096
M4,12,3,12288,3072,13312,4096
N4,13,3,13312,3072,14336,4096
O4,14,3,14336,3072,15360,4096
P4,15,3,15360,3072,16384,4096
Q4,16,3,16384,3072,17408,4096
R4,17,3,17408,3072,18432,4096
S4,18,3,18432,3072,19456,4096
T4,19,3,19456,3072,20480,4096
U4,20,3,20480,3072,21504,4096
V4,21,3,21504,3072,22528,4096
W4,22,3,22528,3072,23552,4096
X4,23,3,23552,3072,24576,4096
A5,0,4,0,4096,1024,5120
B5,1,4,1024,4096,2048,5120
C5,2,4,2048,4096,3072,5120
D5,3,4,3072,4096,4096,5120
E5,4,4,4096,4096,5120,5120
F5,5,4,5120,4096,6144,5120
G5,6,4,6144,4096,7168,5120
H5,7,4,7168,4096,8192,5120
I5,8,4,8192,4096,9216,5120
J5,9,4,9216,4096,10240,5120
K5,10,4,10240,4096,11264,5120
L5,11,4,11264,4096,12288,5120
M5,12,4,12288,4096,13312,5120
N5,13,4,13312,4096,14336,5120
O5,14,4,14336,4096,15360,5120
P5,15,4,15360,4096,16384,5120
Q5,16,4,16384,4096,17408,5120
R5,17,4,17408,4096,18432,5120
S5,18,4,18432,4096,19456,5120
T5,19,4,19456,4096,20480,5120
U5,20,4,20480,4096,21504,5120
V5,21,4,21504,4096,22528,5120
W5,22,4,22528,4096,23552,5120
X5,23,4,23552,4096,24576,5120
A6,0,5,0,5120,1024,6144
B6,1,5,1024,5120,2048,6144
C6,2,5,2048,5120,3072,6144
D6,3,5,3072,5120,4096,6144
E6,4,5,4096,5120,5120,6144
F6,5,5,5120,5120,6144,6144
G6,6,5,6144,5120,7168,6144
H6,7,5,7168,5120,8192,6144
I6,8,5,8192,5120,9216,6144
J6,9,5,9216,5120,10240,6144
K6,10,5,10240,5120,11264,6144
L6,11,5,11264,5120,12288,6144
M6,12,5,12288,5120,13312,6144
N6,13,5,13312,5120,14336,6144
O6,14,5,14336,5120,15360,6144
P6,15,5,15360,5120,16384,6144
Q6,16,5,16384,5120,17408,6144
R6,17,5,17408,5120,18432,6144
S6,18,5,18432,5120,19456,6144
T6,19,5,19456,5120,20480,6144
U6,20,5,20480,5120,21504,6144
V6,21,5,21504,5120,22528,6144
W6,22,5,22528,5120,23552,6144
X6,23,5,23552,5120,24576,6144
A7,0,6,0,6144,1024,7168
B7,1,6,1024,6144,2048,7168
C7,2,6,2048,6144,3072,7168
D7,3,6,3072,6144,4096,7168
E7,4,6,4096,6144,5120,7168
F7,5,6,5120,6144,6144,7168
G7,6,6,6144,6144,7168,7168
H7,7,6,7168,6144,8192,7168
I7,8,6,8192,6144,9216,7168
J7,9,6,9216,6144,10240,7168
K7,10,6,10240,6144,11264,7168
L7,11,6,11264,6144,12288,7168
M7,12,6,12288,6144,13312,7168
N7,13,6,13312,6144,14336,7168
O7,14,6,14336,6144,15360,7168
P7,15,6,15360,6144,16384,7168
Q7,16,6,16384,6144,17408,7168
R7,17,6,17408,6144,18432,7168
S7,18,6,18432,6144,19456,7168
T7,19,6,19456,6144,20480,7168
U7,20,6,20480,6144,21504,7168
V7,21,6,21504,6144,22528,7168
W7,22,6,22528,6144,23552,7168
X7,23,6,23552,6144,24576,7168
A8,0,7,0,7168,1024,8192
B8,1,7,1024,7168,2048,8192
C8,2,7,2048,7168,3072,8192
D8,3,7,3072,7168,4096,8192
E8,4,7,4096,7168,5120,8192
F8,5,7,5120,7168,6144,8192
G8,6,7,6144,7168,7168,8192
H8,7,7,7168,7168,8192,8192
I8,8,7,8192,7168,9216,8192
J8,9,7,9216,7168,10240,8192
K8,10,7,10240,7168,11264,8192
L8,11,7,11264,7168,12288,8192
M8,12,7,12288,7168,13312,8192
N8,13,7,13312,7168,14336,8192
O8,14,7,14336,7168,15360,8192
P8,15,7,15360,7168,16384,8192
Q8,16,7,16384,7168,17408,8192
R8,17,7,17408,7168,18432,8192
S8,18,7,18432,7168,19456,8192
T8,19,7,19456,7168,20480,8192
U8,20,7,20480,7168,21504,8192
V8,21,7,21504,7168,22528,8192
W8,22,7,22528,7168,23552,8192
X8,23,7,23552,7168,24576,8192
