"index","file","sheet_file","crop_x","crop_y","crop_w","crop_h","source_name","category","source_width","source_height","render_length","render_width","collision_length","collision_width","speed_factor","spawn_weight","traffic_eligible","art_set","legacy_fallback"
"0","","player_sheets/player_sheet_01.png.b64","13","13","181","358","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#000","compact","181","358","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"1","","player_sheets/player_sheet_01.png.b64","235","13","187","373","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#001","compact","187","373","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"2","","player_sheets/player_sheet_01.png.b64","475","13","181","370","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#002","sedan","181","370","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"3","","player_sheets/player_sheet_01.png.b64","697","13","187","361","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#003","compact","187","361","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"4","","player_sheets/player_sheet_01.png.b64","13","421","178","370","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#004","sedan","178","370","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"5","","player_sheets/player_sheet_01.png.b64","244","421","172","367","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#005","sedan","172","367","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"6","","player_sheets/player_sheet_01.png.b64","481","421","169","370","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#006","sedan","169","370","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"7","","player_sheets/player_sheet_01.png.b64","697","421","187","367","free-pixel-cars-link-in-comments-v0-fujphf59vg661.png#007","compact","187","367","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"8","","player_sheets/player_sheet_02.png.b64","15","11","196","380","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#000","compact","196","380","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"9","","player_sheets/player_sheet_02.png.b64","707","11","160","364","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#001","sedan","160","364","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"10","","player_sheets/player_sheet_02.png.b64","252","12","158","379","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#002","sedan","158","379","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"11","","player_sheets/player_sheet_02.png.b64","477","12","162","367","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#003","sedan","162","367","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"12","","player_sheets/player_sheet_02.png.b64","29","441","166","364","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#004","sedan","166","364","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"13","","player_sheets/player_sheet_02.png.b64","257","441","154","386","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#005","sedan","154","386","48","24","42.0","20.0","1.0","12.0","True","player_pixel_fleet_2026_08_20","False"
"14","","player_sheets/player_sheet_02.png.b64","678","441","216","378","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#006","compact","216","378","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"15","","player_sheets/player_sheet_02.png.b64","462","442","192","367","free-pixel-cars-link-in-comments-v0-xs01xj2gvg661.webp#007","compact","192","367","44","21","38.0","17.0","1.05","10.0","True","player_pixel_fleet_2026_08_20","False"
"16","","player_sheets/player_sheet_03.png.b64","18","6","220","460","michal-kalinowski-lamborghinimurcielago-ferrari458italia.jpg#000","sports","220","460","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"17","","player_sheets/player_sheet_03.png.b64","242","14","224","452","michal-kalinowski-lamborghinimurcielago-ferrari458italia.jpg#001","sports","224","452","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"18","","player_sheets/player_sheet_04.png.b64","22","18","216","436","michal-kalinowski-mclarenf1-lotuselise.jpg#000","sports","216","436","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"19","","player_sheets/player_sheet_04.png.b64","254","38","204","412","michal-kalinowski-mclarenf1-lotuselise.jpg#001","sports","204","412","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"20","","player_sheets/player_sheet_05.png.b64","22","10","208","452","michal-kalinowski-porsche911carrera-audir8gt.jpg#000","sports","208","452","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"21","","player_sheets/player_sheet_05.png.b64","250","18","208","448","michal-kalinowski-porsche911carrera-audir8gt.jpg#001","sports","208","448","52","24","46.0","20.0","1.08","8.0","True","player_pixel_fleet_2026_08_20","False"
"22","../source_packs/gen_vehicles/gen_vehicle_00.png","","","","","","gen_vehicle_00.png","bus","126","291","98","33","90","27","0.72","0.45","True","generated_vehicle_fleet_2026_08_22","False"
"23","../source_packs/gen_vehicles/gen_vehicle_01.png","","","","","","gen_vehicle_01.png","bus","129","294","98","33","90","27","0.72","0.45","True","generated_vehicle_fleet_2026_08_22","False"
"24","../source_packs/gen_vehicles/gen_vehicle_02.png","","","","","","gen_vehicle_02.png","bus","132","295","98","33","90","27","0.72","0.45","True","generated_vehicle_fleet_2026_08_22","False"
"25","../source_packs/gen_vehicles/gen_vehicle_03.png","","","","","","gen_vehicle_03.png","truck","126","239","72","34","66","28","0.78","1.4","True","generated_vehicle_fleet_2026_08_22","False"
"26","../source_packs/gen_vehicles/gen_vehicle_04.png","","","","","","gen_vehicle_04.png","pickup","131","254","56","28","50","23","0.96","4","True","generated_vehicle_fleet_2026_08_22","False"
"27","../source_packs/gen_vehicles/gen_vehicle_05.png","","","","","","gen_vehicle_05.png","tanker","126","291","94","34","86","28","0.7","0.35","True","generated_vehicle_fleet_2026_08_22","False"
"28","../source_packs/gen_vehicles/gen_vehicle_06.png","","","","","","gen_vehicle_06.png","tanker","135","295","94","34","86","28","0.7","0.35","True","generated_vehicle_fleet_2026_08_22","False"
"29","../source_packs/gen_vehicles/gen_vehicle_07.png","","","","","","gen_vehicle_07.png","large_truck","135","335","104","34","96","28","0.68","0.3","True","generated_vehicle_fleet_2026_08_22","False"
"30","../source_packs/gen_vehicles/gen_vehicle_08.png","","","","","","gen_vehicle_08.png","large_truck","133","335","104","34","96","28","0.68","0.3","True","generated_vehicle_fleet_2026_08_22","False"
"31","../source_packs/gen_vehicles/gen_vehicle_09.png","","","","","","gen_vehicle_09.png","large_truck","132","335","104","34","96","28","0.68","0.3","True","generated_vehicle_fleet_2026_08_22","False"
"32","../source_packs/gen_vehicles/gen_vehicle_10.png","","","","","","gen_vehicle_10.png","van","133","209","56","30","50","25","0.92","4","True","generated_vehicle_fleet_2026_08_22","False"
"33","../source_packs/gen_vehicles/gen_vehicle_11.png","","","","","","gen_vehicle_11.png","van","133","207","56","30","50","25","0.92","4","True","generated_vehicle_fleet_2026_08_22","False"
"34","../source_packs/gen_vehicles/gen_vehicle_12.png","","","","","","gen_vehicle_12.png","pickup","132","335","56","28","50","23","0.96","4","True","generated_vehicle_fleet_2026_08_22","False"
"35","../source_packs/gen_vehicles/gen_vehicle_13.png","","","","","","gen_vehicle_13.png","compact","127","335","44","21","38","17","1.05","10","True","generated_vehicle_fleet_2026_08_22","False"
