index,file,source_name,category,source_width,source_height,render_length,render_width,collision_length,collision_width,speed_factor,spawn_weight,traffic_eligible
0,approved_fleet_000.png,Ambulance.png,emergency,113,272,68,28,62,23,0.96,0.7,True
1,approved_fleet_001.png,Bus.png,bus,137,358,98,33,90,27,0.72,0.45,True
2,approved_fleet_002.png,Dart - Defiance (1).png,sedan,110,234,48,23,42,19,1.0,12,True
3,approved_fleet_003.png,Dart - Defiance (2).png,sedan,114,242,48,23,42,19,1.0,12,True
4,approved_fleet_004.png,Dart - Defiance (3).png,sedan,110,243,48,23,42,19,1.0,12,True
5,approved_fleet_005.png,Dart - Defiance (4).png,sedan,110,243,48,23,42,19,1.0,12,True
6,approved_fleet_006.png,Dart - Defiance (5).png,sedan,116,253,48,23,42,19,1.0,12,True
7,approved_fleet_007.png,Dart - Defiance (6).png,sedan,114,248,48,23,42,19,1.0,12,True
8,approved_fleet_008.png,Dragonetti - GTA (1).png,sedan,119,240,48,25,42,20,1.0,12,True
9,approved_fleet_009.png,Dragonetti - GTA (2).png,sedan,148,296,48,25,42,20,1.0,12,True
10,approved_fleet_010.png,Dragonetti - GTA (3).png,sedan,147,296,48,25,42,20,1.0,12,True
11,approved_fleet_011.png,Dragonetti - GTA (4).png,sedan,146,296,48,25,42,20,1.0,12,True
12,approved_fleet_012.png,Dragonetti - GTA (5).png,sedan,148,296,48,25,42,20,1.0,12,True
13,approved_fleet_013.png,Dragonetti - GTA (6).png,sedan,147,296,48,25,42,20,1.0,12,True
14,approved_fleet_014.png,FIAGA - Pallido (1).png,sedan,146,297,48,28,42,23,1.0,12,True
15,approved_fleet_015.png,FIAGA - Pallido (2).png,sedan,148,297,48,28,42,23,1.0,12,True
16,approved_fleet_016.png,FIAGA - Pallido (3).png,sedan,147,297,48,28,42,23,1.0,12,True
17,approved_fleet_017.png,FIAGA - Pallido (4).png,sedan,146,297,48,28,42,23,1.0,12,True
18,approved_fleet_018.png,FIAGA - Pallido (5).png,sedan,140,307,48,28,42,23,1.0,12,True
19,approved_fleet_019.png,FIAGA - Scena (1).png,sedan,142,308,48,26,42,21,1.0,12,True
20,approved_fleet_020.png,FIAGA - Scena (2).png,sedan,143,307,48,26,42,21,1.0,12,True
21,approved_fleet_021.png,FIAGA - Scena (3).png,sedan,139,292,48,26,42,21,1.0,12,True
22,approved_fleet_022.png,FIAGA - Scena (4).png,sedan,160,301,48,26,42,21,1.0,12,True
23,approved_fleet_023.png,FIAGA - Scena (5).png,sedan,163,303,48,26,42,21,1.0,12,True
24,approved_fleet_024.png,FIAGA - The One (1).png,compact,124,260,44,21,38,17,1.05,10,True
25,approved_fleet_025.png,FIAGA - The One (2).png,compact,132,266,44,21,38,17,1.05,10,True
26,approved_fleet_026.png,FIAGA - The One (3).png,compact,133,271,44,21,38,17,1.05,10,True
27,approved_fleet_027.png,FIAGA - The One (4).png,compact,120,243,44,21,38,17,1.05,10,True
28,approved_fleet_028.png,FIAGA - The One (5).png,compact,118,241,44,21,38,17,1.05,10,True
29,approved_fleet_029.png,FireTruck.png,emergency,141,363,86,35,78,29,0.82,0.7,True
30,approved_fleet_030.png,Forge - Appaloosa (1).png,compact,118,242,44,20,38,16,1.05,10,True
31,approved_fleet_031.png,Forge - Appaloosa (2).png,compact,118,243,44,20,38,16,1.05,10,True
32,approved_fleet_032.png,Forge - Appaloosa (3).png,compact,118,243,44,20,38,16,1.05,10,True
33,approved_fleet_033.png,Forge - Appaloosa (4).png,compact,118,243,44,20,38,16,1.05,10,True
34,approved_fleet_034.png,Forge - Appaloosa (5).png,compact,118,243,44,20,38,16,1.05,10,True
35,approved_fleet_035.png,fork-lift.png,utility,76,170,46,18,40,16,0.55,0,False
36,approved_fleet_036.png,Hojo - Agreement (1).png,sedan,137,304,48,26,42,21,1.0,12,True
37,approved_fleet_037.png,Hojo - Agreement (2).png,sedan,139,305,48,26,42,21,1.0,12,True
38,approved_fleet_038.png,Hojo - Agreement (3).png,sedan,139,305,48,26,42,21,1.0,12,True
39,approved_fleet_039.png,Hojo - Agreement (4).png,sedan,140,307,48,26,42,21,1.0,12,True
40,approved_fleet_040.png,Hojo - Citizen (1).png,sedan,141,306,48,24,42,20,1.0,12,True
41,approved_fleet_041.png,Hojo - Citizen (2).png,sedan,139,306,48,24,42,20,1.0,12,True
42,approved_fleet_042.png,Hojo - Citizen (3).png,sedan,140,307,48,24,42,20,1.0,12,True
43,approved_fleet_043.png,Hojo - Citizen (4).png,sedan,140,306,48,24,42,20,1.0,12,True
44,approved_fleet_044.png,Hojo - Citizen (5).png,sedan,140,306,48,24,42,20,1.0,12,True
45,approved_fleet_045.png,Hojo - Citizen (6).png,sedan,103,206,48,24,42,20,1.0,12,True
46,approved_fleet_046.png,Hojo - Citizen (7).png,sedan,101,206,48,24,42,20,1.0,12,True
47,approved_fleet_047.png,Limo.png,limo,109,314,72,23,66,19,0.82,0.7,True
48,approved_fleet_048.png,Panther - XP12 (1).png,sedan,101,199,48,24,42,20,1.0,12,True
49,approved_fleet_049.png,Panther - XP12 (2).png,sedan,99,201,48,24,42,20,1.0,12,True
50,approved_fleet_050.png,Panther - XP12 (3).png,sedan,100,201,48,24,42,20,1.0,12,True
51,approved_fleet_051.png,PetrolEt - Clevetty (1).png,sedan,103,204,48,23,42,19,1.0,12,True
52,approved_fleet_052.png,PetrolEt - Clevetty (2).png,sedan,101,204,48,23,42,19,1.0,12,True
53,approved_fleet_053.png,PetrolEt - Clevetty (3).png,sedan,102,204,48,23,42,19,1.0,12,True
54,approved_fleet_054.png,PetrolEt - Clevetty (4).png,sedan,155,298,48,23,42,19,1.0,12,True
55,approved_fleet_055.png,PetrolEt - Clevetty (5).png,sedan,141,291,48,23,42,19,1.0,12,True
56,approved_fleet_056.png,Police Car.png,emergency,141,294,58,30,56,25,1.02,0.7,True
57,approved_fleet_057.png,Taxi.png,taxi,138,298,50,24,44,20,1.0,3,True
58,approved_fleet_058.png,Truck Cargo Large.png,large_truck,125,420,104,31,96,25,0.68,0.3,True
59,approved_fleet_059.png,Truck Cargo Small.png,truck,128,246,72,43,66,35,0.78,1.4,True
60,approved_fleet_060.png,Truck Pickup (1).png,pickup,140,297,56,28,50,23,0.96,4,True
61,approved_fleet_061.png,Truck Pickup (2).png,pickup,139,301,56,28,50,23,0.96,4,True
62,approved_fleet_062.png,Truck Pickup (3).png,pickup,135,301,56,28,50,23,0.96,4,True
63,approved_fleet_063.png,Truck Pickup (4).png,pickup,127,258,56,28,50,23,0.96,4,True
64,approved_fleet_064.png,Truck Scania (1).png,truck,162,377,72,43,66,35,0.78,1.4,True
65,approved_fleet_065.png,Truck Scania (2).png,truck,163,379,72,43,66,35,0.78,1.4,True
66,approved_fleet_066.png,Truck Scania (3).png,truck,165,379,72,43,66,35,0.78,1.4,True
67,approved_fleet_067.png,Truck Small (1).png,truck,128,304,72,31,66,25,0.78,1.4,True
68,approved_fleet_068.png,Truck Small (2).png,truck,129,304,72,31,66,25,0.78,1.4,True
69,approved_fleet_069.png,Truck Small (3).png,truck,128,300,72,31,66,25,0.78,1.4,True
70,approved_fleet_070.png,Truck Small (4).png,truck,128,301,72,31,66,25,0.78,1.4,True
71,approved_fleet_071.png,Van (1).png,van,118,223,56,30,50,25,0.92,4,True
72,approved_fleet_072.png,Van (2).png,van,152,321,56,30,50,25,0.92,4,True
73,approved_fleet_073.png,Van (3).png,van,149,316,56,30,50,25,0.92,4,True
74,approved_fleet_074.png,Wolfsverken - Doppel (1).png,sedan,139,285,48,22,42,18,1.0,12,True
75,approved_fleet_075.png,Wolfsverken - Doppel (2).png,sedan,135,287,48,22,42,18,1.0,12,True
76,approved_fleet_076.png,Wolfsverken - Soul (1).png,sedan,140,287,48,30,42,25,1.0,12,True
77,approved_fleet_077.png,Wolfsverken - Soul (2).png,sedan,141,287,48,30,42,25,1.0,12,True
78,approved_fleet_078.png,Wolfsverken - Soul (3).png,sedan,139,273,48,30,42,25,1.0,12,True
79,approved_fleet_079.png,Wolfsverken - Soul (4).png,sedan,139,273,48,30,42,25,1.0,12,True
80,approved_fleet_080.png,Wolfsverken -Bug.png,compact,123,198,44,23,38,19,1.05,10,True
