setting,value,type,description
rotation_input,middle_mouse_drag,string,Hold middle mouse and drag horizontally for continuous camera rotation
drag_sensitivity_degrees_per_pixel,0.35,float,Continuous rotation sensitivity used by the tester and default client
pivot,local_player,string,World rotation is centered exactly on the local player
movement_reference,screen,string,WASD remains camera-relative after rotation
active_drag_facing_lock,north,string,Local player remains screen-forward while camera drag is active
aim_reference,cursor_to_world,string,Mouse aim is transformed separately from movement
minimap_orientation,north_up,string,Minimap never rotates with the camera
depth_reference,rotated_ground_contact_y,string,Occlusion is recomputed from projected ground-contact depth
keyboard_snap_degrees,15,float,Optional Q and E accessibility rotation step
zoom_input,mouse_wheel,string,Mouse wheel zoom matches the main game camera
zoom_default,1.0,float,Default world-camera zoom
zoom_min,0.55,float,Minimum game-matched world-camera zoom
zoom_max,2.0,float,Maximum game-matched world-camera zoom
zoom_step,0.10,float,Mouse-wheel and keyboard zoom increment
zoom_scope,world_not_ui,string,Scale world geometry sprites and props while keeping the tester panel fixed
