slot,part_id,isometric_sheet,topdown_sheet,paired,selectable
accessory,baseball_cap,isometric/layers/accessory/baseball_cap_8dir.png,topdown/layers/accessory/baseball_cap_8dir.png,true,true
accessory,face_mask,isometric/layers/accessory/face_mask_8dir.png,topdown/layers/accessory/face_mask_8dir.png,true,true
accessory,sunglasses,isometric/layers/accessory/sunglasses_8dir.png,topdown/layers/accessory/sunglasses_8dir.png,true,true
body,neutral_body,isometric/layers/body/neutral_body_8dir.png,topdown/layers/body/neutral_body_8dir.png,true,true
bottom,black_jeans,isometric/layers/bottom/black_jeans_8dir.png,topdown/layers/bottom/black_jeans_8dir.png,true,true
bottom,black_jeans_femme,isometric/layers/bottom/black_jeans_femme_8dir.png,topdown/layers/bottom/black_jeans_femme_8dir.png,true,true
bottom,blue_jeans,isometric/layers/bottom/blue_jeans_8dir.png,topdown/layers/bottom/blue_jeans_8dir.png,true,true
bottom,blue_jeans_femme,isometric/layers/bottom/blue_jeans_femme_8dir.png,topdown/layers/bottom/blue_jeans_femme_8dir.png,true,true
bottom,cargo_shorts,isometric/layers/bottom/cargo_shorts_8dir.png,topdown/layers/bottom/cargo_shorts_8dir.png,true,true
bottom,cargo_shorts_olive,isometric/layers/bottom/cargo_shorts_olive_8dir.png,topdown/layers/bottom/cargo_shorts_olive_8dir.png,true,true
bottom,charcoal_jeans,isometric/layers/bottom/charcoal_jeans_8dir.png,topdown/layers/bottom/charcoal_jeans_8dir.png,true,true
bottom,dark_jeans,isometric/layers/bottom/dark_jeans_8dir.png,topdown/layers/bottom/dark_jeans_8dir.png,true,true
bottom,reinforced_jeans,isometric/layers/bottom/reinforced_jeans_8dir.png,topdown/layers/bottom/reinforced_jeans_8dir.png,true,true
footwear,black_boots,isometric/layers/footwear/black_boots_8dir.png,topdown/layers/footwear/black_boots_8dir.png,true,true
footwear,black_high_tops,isometric/layers/footwear/black_high_tops_8dir.png,topdown/layers/footwear/black_high_tops_8dir.png,true,true
footwear,black_sneakers,isometric/layers/footwear/black_sneakers_8dir.png,topdown/layers/footwear/black_sneakers_8dir.png,true,true
footwear,black_sneakers_rust,isometric/layers/footwear/black_sneakers_rust_8dir.png,topdown/layers/footwear/black_sneakers_8dir.png,true,true
footwear,brown_boots,isometric/layers/footwear/brown_boots_8dir.png,topdown/layers/footwear/brown_boots_8dir.png,true,true
footwear,motorcycle_boots,isometric/layers/footwear/motorcycle_boots_8dir.png,topdown/layers/footwear/motorcycle_boots_8dir.png,true,true
footwear,white_sneakers,isometric/layers/footwear/white_sneakers_8dir.png,topdown/layers/footwear/white_sneakers_8dir.png,true,true
footwear,white_trainers,isometric/layers/footwear/white_trainers_8dir.png,topdown/layers/footwear/white_trainers_8dir.png,true,true
head,baseball_cap,isometric/layers/head/baseball_cap_8dir.png,topdown/layers/head/baseball_cap_8dir.png,true,true
head,curly_short,isometric/layers/head/curly_short_8dir.png,topdown/layers/head/curly_short_8dir.png,true,true
head,curly_short_rust,isometric/layers/head/curly_short_rust_8dir.png,topdown/layers/head/curly_short_8dir.png,true,true
head,fade_mask,isometric/layers/head/fade_mask_8dir.png,topdown/layers/head/fade_mask_8dir.png,true,true
head,motorcycle_helmet,isometric/layers/head/motorcycle_helmet_8dir.png,topdown/layers/head/motorcycle_helmet_8dir.png,true,true
head,ponytail_shades,isometric/layers/head/ponytail_shades_8dir.png,topdown/layers/head/ponytail_shades_8dir.png,true,true
top,hoodie_navy,isometric/layers/top/hoodie_navy_8dir.png,topdown/layers/top/hoodie_navy_8dir.png,true,true
top,hoodie_olive,isometric/layers/top/hoodie_olive_8dir.png,topdown/layers/top/hoodie_olive_8dir.png,true,true
top,hoodie_rust,isometric/layers/top/hoodie_rust_8dir.png,topdown/layers/top/hoodie_rust_8dir.png,true,true
top,jacket_black,isometric/layers/top/jacket_black_8dir.png,topdown/layers/top/jacket_black_8dir.png,true,true
top,jacket_brown,isometric/layers/top/jacket_brown_8dir.png,topdown/layers/top/jacket_brown_8dir.png,true,true
top,motorcycle_jacket,isometric/layers/top/motorcycle_jacket_8dir.png,topdown/layers/top/motorcycle_jacket_8dir.png,true,true
top,tshirt_blue,isometric/layers/top/tshirt_blue_8dir.png,topdown/layers/top/tshirt_blue_8dir.png,true,true
top,tshirt_gold,isometric/layers/top/tshirt_gold_8dir.png,topdown/layers/top/tshirt_gold_8dir.png,true,true
top,tshirt_purple,isometric/layers/top/tshirt_purple_8dir.png,topdown/layers/top/tshirt_purple_8dir.png,true,true
top,tshirt_red,isometric/layers/top/tshirt_red_8dir.png,topdown/layers/top/tshirt_red_8dir.png,true,true
top,tshirt_teal,isometric/layers/top/tshirt_teal_8dir.png,topdown/layers/top/tshirt_teal_8dir.png,true,true
top,tshirt_white,isometric/layers/top/tshirt_white_8dir.png,topdown/layers/top/tshirt_white_8dir.png,true,true
