github_issue,state,title,database_bug_id,review_status,build,map,position,description,screenshot_sha256,created_at,updated_at,url
15,closed,[Player Bug #13] I randomly relocated,13,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(4127.2, 6331.8), level 0",I randomly relocated,5cb333bfc2bb8f5c9ea5515f41dc99401112a71a0214055fb8cf39c96274f2cf,2026-08-17T01:28:32Z,2026-08-17T01:30:01Z,https://github.com/goodnighthawk/Open-Night/issues/15
16,open,[Recovered Player Bug] Street lamps and lights are in separate places,,,,,,,,2026-08-17T01:33:34Z,2026-08-17T01:33:34Z,https://github.com/goodnighthawk/Open-Night/issues/16
17,open,[Recovered Player Bug] Traffic lights and synchronized lights are misaligned,,,,,,,,2026-08-17T01:33:40Z,2026-08-17T01:33:40Z,https://github.com/goodnighthawk/Open-Night/issues/17
18,open,[Recovered Player Bug] Increase pedestrian population,,,,,,,,2026-08-17T01:33:47Z,2026-08-17T01:45:51Z,https://github.com/goodnighthawk/Open-Night/issues/18
19,open,[Player Bug #14] supplier text does not rotate with camera same for other map text it needs to be rendered ,14,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3929.1, 6376.1), level 0",supplier text does not rotate with camera same for other map text it needs to be rendered client side,1f1213dd457c926698de97e5a380cef33898e748c048bf812ce5e35e182789be,2026-08-17T01:33:52Z,2026-08-17T01:33:52Z,https://github.com/goodnighthawk/Open-Night/issues/19
20,open,[Recovered Player Bug] Layer changes still play the jump animation,,,,,,,,2026-08-17T01:33:57Z,2026-08-17T01:45:45Z,https://github.com/goodnighthawk/Open-Night/issues/20
21,open,[Recovered Player Bug] Tree bases are too wide and spill onto surrounding surfaces,,,,,,,,2026-08-17T01:34:03Z,2026-08-17T01:34:03Z,https://github.com/goodnighthawk/Open-Night/issues/21
22,open,[Recovered Player Bug] 2.5D city texture pack is not being used,,,,,,,,2026-08-17T01:34:09Z,2026-08-17T01:34:09Z,https://github.com/goodnighthawk/Open-Night/issues/22
23,open,[Recovered Player Bug] Movement fails when trying to stay on black tile area,,,,,,,,2026-08-17T01:34:15Z,2026-08-17T01:34:15Z,https://github.com/goodnighthawk/Open-Night/issues/23
24,open,[Player Bug #15] make turning the car be more responsive like gta2,15,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(2497.0, 4725.8), level 0",make turning the car be more responsive like gta2,e5e6c590631e8c4b92937c8de48df7d6b77ff7d8276e207376fa442406db0e52,2026-08-17T01:35:50Z,2026-08-17T01:45:56Z,https://github.com/goodnighthawk/Open-Night/issues/24
25,open,"[Player Bug #16] suppliers should show up on the mini and main M map, so should buyers",16,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3176.6, 3260.1), level 0","suppliers should show up on the mini and main M map, so should buyers",e1a8222ce92ba00f6b40c1514a5ad2f934c84381e84ee0d96aa34ac71f1e6848,2026-08-17T01:36:58Z,2026-08-17T01:36:58Z,https://github.com/goodnighthawk/Open-Night/issues/25
26,open,[Player Bug #17] buyers and sellers should be npcs that walk around and stand around and not just points on,17,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3176.6, 3260.1), level 0",buyers and sellers should be npcs that walk around and stand around and not just points on the map,c7a1d6ec9bfadc6f6acb17c2ce8d0e82c65ab99fd7194afefa8c26e20e30e09b,2026-08-17T01:37:50Z,2026-08-17T01:37:50Z,https://github.com/goodnighthawk/Open-Night/issues/26
27,open,[Player Bug #18] cars cannot drive on side walks,18,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3176.6, 3260.1), level 0",cars cannot drive on side walks,d34375c8f038ec4ba2647b9705f655b09e35d7c2891916978b88d65d375163b4,2026-08-17T01:39:09Z,2026-08-17T01:39:09Z,https://github.com/goodnighthawk/Open-Night/issues/27
29,open,[Player Bug #19] vehicle collisions should deflect vehicles not let them get stuck in buildings,19,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3473.2, 3450.4), level 0",vehicle collisions should deflect vehicles not let them get stuck in buildings,9fdb8049fe6f640bfd4eef312e6a48523f2f91ae9353e1f47d498c11818022eb,2026-08-17T01:41:13Z,2026-08-20T02:46:32Z,https://github.com/goodnighthawk/Open-Night/issues/29
30,open,[Player Bug #20] add breakable fire hydrants that break over 30 mph in a car and spurt some water then disa,20,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3229.2, 6351.0), level 0",add breakable fire hydrants that break over 30 mph in a car and spurt some water then disappear and eventually respawn after 5 minutes,9700bcd32681240a207d9137a09c9495278d2de48911b4a1b8f41e6cc6ed2518,2026-08-17T01:43:00Z,2026-08-17T01:43:00Z,https://github.com/goodnighthawk/Open-Night/issues/30
31,open,[Player Bug #21] to be closer to gta the roads and sidewalks need to take up to 2x extra space from the bui,21,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(2406.3, 6190.3), level 0",to be closer to gta the roads and sidewalks need to take up to 2x extra space from the buildings/blocks,debd86e2feb28eabc76dd38e69e437e1bb96bd1021ddd06f1b32fad90a7a2a06,2026-08-17T01:44:53Z,2026-08-17T01:44:53Z,https://github.com/goodnighthawk/Open-Night/issues/31
33,open,[Player Bug #22] add dog npcs,22,pending-review,Open Night v0.8.3 - login head selector + simplified player launcher; Pass 25 runtime map,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(2251.0, 4781.8), level 0",add dog npcs,,2026-08-17T01:52:12Z,2026-08-17T01:52:12Z,https://github.com/goodnighthawk/Open-Night/issues/33
34,open,v0.8.4 bug-fix implementation pass,,,,,,,,2026-08-17T01:52:46Z,2026-08-17T01:52:46Z,https://github.com/goodnighthawk/Open-Night/issues/34
35,closed,v0.8.4 bug-fix implementation pass,,,,,,,,2026-08-17T01:52:52Z,2026-08-17T01:52:57Z,https://github.com/goodnighthawk/Open-Night/issues/35
36,closed,Placeholder,,,,,,,,2026-08-17T01:53:01Z,2026-08-17T01:53:07Z,https://github.com/goodnighthawk/Open-Night/issues/36
37,open,v1.0 — collision-locked full-city generated art overlay,,,,,,,,2026-08-17T19:39:31Z,2026-08-17T20:20:11Z,https://github.com/goodnighthawk/Open-Night/issues/37
40,open,Server browser shows stale Internet server v0.8.3 beside local v0.9.0,,,,,,,,2026-08-19T22:36:50Z,2026-08-20T00:32:40Z,https://github.com/goodnighthawk/Open-Night/issues/40
42,open,[Player Bug #23] pedestrians are all stuck. cars are way too small compared to player and building,23,pending-review,Open Night v1.1 - bug review / GridWorld population,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(3463.9, 1863.3), level 0",pedestrians are all stuck. cars are way too small compared to player and building,2e0b0df421097804763ef0fc52c7d549eb6beddf9f492470dad9f9cf59a76839,2026-08-20T01:49:49Z,2026-08-20T02:17:19Z,https://github.com/goodnighthawk/Open-Night/issues/42
43,open,[Player Bug #24] no supplier on map,24,pending-review,Open Night v1.1 - bug review / GridWorld population,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(1858.2, 2147.5), level 0",no supplier on map,ed4eaed64406c6f42f28e85ca7db6bf4a7703eab79089428fa0900e715ce419c,2026-08-20T01:49:52Z,2026-08-20T02:21:58Z,https://github.com/goodnighthawk/Open-Night/issues/43
44,open,[Player Bug #25] npcs and dogs are also way too small,25,pending-review,Open Night v1.1 - bug review / GridWorld population,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(1836.6, 2528.8), level 0",npcs and dogs are also way too small,914316aa7b273cafe09e6c8107e63db809dfcce1060f607e207f68242f81a75a,2026-08-20T01:50:06Z,2026-08-20T02:17:41Z,https://github.com/goodnighthawk/Open-Night/issues/44
45,open,[Player Bug #26] the npcs need more sidewalk and crossings to get around,26,pending-review,Open Night v1.1 - bug review / GridWorld population,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(1827.3, 2123.3), level 0",the npcs need more sidewalk and crossings to get around,4f70b2a3012f9b48652fe66f3e92e82de9669237b4b1ddcb7f6aa5f976b2859b,2026-08-20T01:50:09Z,2026-08-20T04:07:20Z,https://github.com/goodnighthawk/Open-Night/issues/45
46,open,[Player Bug #27] buildings still have coloured outlines and cross over into eachother in places,27,pending-review,Open Night v1.1 - bug review / GridWorld population,Open Night — Fort Lee / GWB / Washington Heights (`map_001_gwb_corridor`),"(1900.2, 2586.5), level 0",buildings still have coloured outlines and cross over into eachother in places,bf960d241f521fc50a49450ea8365425240c8d1ddab2a5f51083101a1e988193,2026-08-20T01:50:11Z,2026-08-20T01:50:11Z,https://github.com/goodnighthawk/Open-Night/issues/46
