light_id,source_type,source_id,x,y,radius_px,intensity,color_tag,height_px
l0000,streetlamp,p0019,9355.6,7925.2,108,0.66,warm,34
l0001,streetlamp,p0021,9655.2,8216.3,108,0.66,warm,34
l0002,streetlamp,p0023,9279.7,9028.4,108,0.66,warm,34
l0003,streetlamp,p0024,9476.6,9425.1,108,0.66,warm,34
l0004,streetlamp,p0028,15098.9,5687.8,108,0.66,warm,34
l0005,streetlamp,p0029,15432.5,6062.5,108,0.66,warm,34
l0006,streetlamp,p0034,2375.8,8528.9,108,0.66,warm,34
l0007,streetlamp,p0038,12298.7,5748.0,108,0.66,warm,34
l0008,streetlamp,p0040,13147.2,6092.4,108,0.66,warm,34
l0009,streetlamp,p0041,13549.7,5801.9,108,0.66,warm,34
l0010,streetlamp,p0043,13749.3,3343.9,108,0.66,warm,34
l0011,streetlamp,p0045,12058.4,4488.3,108,0.66,warm,34
l0012,streetlamp,p0047,12006.4,5186.9,108,0.66,warm,34
l0013,streetlamp,p0048,12254.1,5556.5,108,0.66,warm,34
l0014,streetlamp,p0049,12559.8,4136.4,108,0.66,warm,34
l0015,streetlamp,p0051,12928.5,4622.6,108,0.66,warm,34
l0016,streetlamp,p0056,6048.5,5388.2,108,0.66,warm,34
l0017,streetlamp,p0057,6391.2,5923.6,108,0.66,warm,34
l0018,streetlamp,p0059,5554.0,5468.4,108,0.66,warm,34
l0019,streetlamp,p0061,5467.4,6071.1,108,0.66,warm,34
l0020,streetlamp,p0062,4969.2,6138.0,108,0.66,warm,34
l0021,streetlamp,p0064,4268.3,8856.0,108,0.66,warm,34
l0022,streetlamp,p0066,7074.7,6891.7,108,0.66,warm,34
l0023,streetlamp,p0067,6531.5,6988.2,108,0.66,warm,34
l0024,streetlamp,p0070,3365.6,7178.1,108,0.66,warm,34
l0025,streetlamp,p0071,3813.7,7455.4,108,0.66,warm,34
l0026,streetlamp,p0075,8206.9,4459.3,108,0.66,warm,34
l0027,streetlamp,p0080,4613.8,7850.7,108,0.66,warm,34
l0028,streetlamp,p0082,8193.2,6048.2,108,0.66,warm,34
l0029,streetlamp,p0088,15842.4,6438.7,108,0.66,warm,34
l0030,streetlamp,p0097,10807.5,2771.6,108,0.66,warm,34
l0031,streetlamp,p0103,5453.1,5125.2,108,0.66,warm,34
l0032,streetlamp,p0107,3662.2,4842.2,108,0.66,warm,34
l0033,streetlamp,p0112,10556.2,8444.3,108,0.66,warm,34
l0034,streetlamp,p0118,15271.4,6331.5,108,0.66,warm,34
l0035,streetlamp,p0119,15192.7,6829.1,108,0.66,warm,34
l0036,streetlamp,p0123,11905.2,5841.9,108,0.66,warm,34
l0037,streetlamp,p0125,6126.9,8754.0,108,0.66,warm,34
l0038,streetlamp,p0126,10793.4,6763.3,108,0.66,warm,34
l0039,streetlamp,p0131,5058.8,7557.2,108,0.66,warm,34
l0040,streetlamp,p0133,11047.6,4950.7,108,0.66,warm,34
l0041,streetlamp,p0134,10612.9,5206.5,108,0.66,warm,34
l0042,streetlamp,p0137,13857.0,19.4,108,0.66,warm,34
l0043,streetlamp,p0140,13472.6,937.1,108,0.66,warm,34
l0044,streetlamp,p0143,11164.2,4392.5,108,0.66,warm,34
l0045,streetlamp,p0153,568.7,7155.0,108,0.66,warm,34
l0046,streetlamp,p0159,7794.4,6475.4,108,0.66,warm,34
l0047,streetlamp,p0253,461.4,6235.2,108,0.66,warm,34
l0048,streetlamp,p0275,415.7,6992.0,108,0.66,warm,34
l0049,streetlamp,p0348,5860.8,7180.8,108,0.66,warm,34
l0050,streetlamp,p0349,5589.6,7501.3,108,0.66,warm,34
l0051,streetlamp,p0352,5596.0,8136.7,108,0.66,warm,34
l0052,streetlamp,p0357,7571.0,7813.7,108,0.66,warm,34
l0053,streetlamp,p0360,4396.2,10889.6,108,0.66,warm,34
l0054,streetlamp,p0361,4614.1,11385.9,108,0.66,warm,34
l0055,streetlamp,p0362,4125.0,11434.2,108,0.66,warm,34
l0056,streetlamp,p0366,6769.9,9374.3,108,0.66,warm,34
l0057,streetlamp,p0367,7002.1,9754.6,108,0.66,warm,34
l0058,streetlamp,p0371,12016.5,4896.6,108,0.66,warm,34
l0059,streetlamp,p0372,11956.6,5381.0,108,0.66,warm,34
l0060,streetlamp,p0373,10005.7,6796.4,108,0.66,warm,34
l0061,streetlamp,p0377,6967.8,8267.9,108,0.66,warm,34
l0062,streetlamp,p0378,6651.5,8536.5,108,0.66,warm,34
l0063,streetlamp,p0379,12005.5,1347.8,108,0.66,warm,34
l0064,streetlamp,p0381,12003.8,1802.3,108,0.66,warm,34
l0065,streetlamp,p0382,12054.2,2055.4,108,0.66,warm,34
l0066,streetlamp,p0389,13594.0,2532.3,108,0.66,warm,34
l0067,streetlamp,p0391,13987.2,2256.5,108,0.66,warm,34
l0068,streetlamp,p0392,11344.8,4643.0,108,0.66,warm,34
l0069,streetlamp,p0398,7377.3,8681.3,108,0.66,warm,34
l0070,streetlamp,p0399,7008.5,8765.9,108,0.66,warm,34
l0071,streetlamp,p0401,11560.2,8146.8,108,0.66,warm,34
l0072,streetlamp,p0409,4845.7,10803.6,108,0.66,warm,34
l0073,streetlamp,p0411,5167.0,11084.0,108,0.66,warm,34
l0074,streetlamp,p0413,5267.5,11729.1,108,0.66,warm,34
l0075,streetlamp,p0414,5046.5,12093.8,108,0.66,warm,34
l0076,streetlamp,p0417,10780.0,7368.8,108,0.66,warm,34
l0077,streetlamp,p0419,13168.6,6560.0,108,0.66,warm,34
l0078,streetlamp,p0423,14558.3,2848.4,108,0.66,warm,34
l0079,streetlamp,p0426,11127.9,6692.0,108,0.66,warm,34
l0080,streetlamp,p0427,12325.2,1139.8,108,0.66,warm,34
l0081,road_sign,s000,4817.72,9458.52,125,0.38,cool,58
l0082,road_sign,s001,13274.18,2623.58,125,0.38,cool,58
l0083,road_sign,s002,14224.01,6511.52,125,0.38,cool,58
l0084,road_sign,s003,13884.48,5476.0,125,0.38,cool,58
l0085,road_sign,s004,14144.84,6978.98,125,0.38,cool,58
l0086,road_sign,s005,2373.75,7902.53,125,0.38,cool,58
l0087,road_sign,s006,13210.53,3952.37,125,0.38,cool,58
l0088,road_sign,s007,7373.36,6960.1,125,0.38,cool,58
l0089,road_sign,s008,1129.75,7721.4,125,0.38,cool,58
l0090,road_sign,s009,13606.4,4687.98,125,0.38,cool,58
l0091,road_sign,s010,7589.4,6421.14,125,0.38,cool,58
l0092,road_sign,s011,7858.82,3196.01,125,0.38,cool,58
l0093,road_sign,s012,4311.86,7341.92,125,0.38,cool,58
l0094,road_sign,s013,10925.84,6131.68,125,0.38,cool,58
l0095,road_sign,s014,4665.5,6583.97,125,0.38,cool,58
l0096,road_sign,s015,10641.9,3292.98,125,0.38,cool,58
l0097,road_sign,s016,8255.26,2540.24,125,0.38,cool,58
