dress_id,kind,archetype_id,x,y,scale,rotation,style_zone,z_layer
dp_0_0,utility_box,pro_utility_box_05,12272.0,122.38,0.43,0,industrial,32
dp_0_1,barrier,pro_barrier_07,12382.0,28.0,0.4,0,industrial,32
dp_0_2,construction_barrel,pro_construction_barrel_15,12272.0,285.12,0.45,0,industrial,32
dp_1_0,utility_box,pro_utility_box_05,12469.5,113.62,0.46,0,industrial,32
dp_1_1,barrier,pro_barrier_07,12469.5,202.25,0.42,0,industrial,32
dp_1_2,construction_barrel,pro_construction_barrel_15,12677.5,12.0,0.46,0,industrial,32
dp_2_0,barrier,pro_barrier_07,14468.0,50.0,0.45,0,industrial,32
dp_2_1,construction_barrel,pro_construction_barrel_15,14518.5,50.0,0.41000000000000003,0,industrial,32
dp_2_2,crate_cluster,pro_crate_cluster_11,14404.5,159.0,0.39,0,industrial,32
dp_3_0,barrier,pro_barrier_07,12095.0,219.2,0.46,0,industrial,32
dp_3_1,construction_barrel,pro_construction_barrel_15,12095.0,258.8,0.48,0,industrial,32
dp_3_2,crate_cluster,pro_crate_cluster_11,12237.0,166.6,0.43,0,industrial,32
dp_4_0,construction_barrel,pro_construction_barrel_15,14338.5,333.75,0.4,0,industrial,32
dp_4_1,crate_cluster,pro_crate_cluster_11,14338.5,417.0,0.39,0,industrial,32
dp_4_2,dumpster,pro_dumpster_16,14503.6,237.5,0.44,0,industrial,32
dp_5_0,construction_barrel,pro_construction_barrel_15,11865.22,442.0,0.49,0,industrial,32
dp_5_1,crate_cluster,pro_crate_cluster_11,11795.8,565.25,0.49,0,industrial,32
dp_5_2,dumpster,pro_dumpster_16,11795.8,620.38,0.43,0,industrial,32
dp_6_0,crate_cluster,pro_crate_cluster_11,14254.12,396.5,0.46,0,industrial,32
dp_6_1,dumpster,pro_dumpster_16,14209.5,460.0,0.42,0,industrial,32
dp_6_2,utility_box,pro_utility_box_05,14317.38,396.5,0.4,0,industrial,32
dp_7_0,utility_box,pro_utility_box_05,14246.42,600.5,0.44,0,industrial,32
