edge_id,polygon_id,x1,y1,x2,y2,kind,railing_spacing_px,z_layer
we000,water_01,9417.31,1775.07,8214.91,2256.0,retaining_rail,96,9
we001,water_01,8214.91,2256.0,8286.8,5668.31,retaining_rail,96,9
we002,water_01,8286.8,5668.31,8132.33,5740.28,retaining_rail,96,9
we003,water_01,8132.33,5740.28,8349.98,6029.91,retaining_rail,96,9
we004,water_01,8349.98,6029.91,8158.65,6136.98,retaining_rail,96,9
we005,water_01,8158.65,6136.98,8316.61,6735.54,retaining_rail,96,9
we006,water_01,8316.61,6735.54,8121.74,8157.33,retaining_rail,96,9
we007,water_01,8121.74,8157.33,8432.41,9010.42,retaining_rail,96,9
we008,water_01,8432.41,9010.42,8370.95,9798.55,retaining_rail,96,9
we009,water_01,8370.95,9798.55,9310.05,9422.94,retaining_rail,96,9
we010,water_01,9310.05,9422.94,9490.87,8475.08,retaining_rail,96,9
we011,water_01,9490.87,8475.08,9436.49,6888.28,retaining_rail,96,9
we012,water_01,9436.49,6888.28,8962.57,6517.9,retaining_rail,96,9
we013,water_01,8962.57,6517.9,9301.35,6423.12,retaining_rail,96,9
we014,water_01,9301.35,6423.12,9529.56,5619.2,retaining_rail,96,9
we015,water_01,9529.56,5619.2,9404.97,4060.48,retaining_rail,96,9
we016,water_01,9404.97,4060.48,9750.77,3779.64,retaining_rail,96,9
we017,water_01,9750.77,3779.64,9963.15,4081.56,retaining_rail,96,9
we018,water_01,9963.15,4081.56,10549.43,3816.52,retaining_rail,96,9
we019,water_01,10549.43,3816.52,9641.94,3660.28,retaining_rail,96,9
we020,water_01,9641.94,3660.28,9417.31,1775.07,retaining_rail,96,9
we021,water_02,2211.71,4657.11,2123.92,5659.39,retaining_rail,96,9
we022,water_02,2123.92,5659.39,2487.26,5931.47,retaining_rail,96,9
we023,water_02,2487.26,5931.47,2327.51,6524.76,retaining_rail,96,9
we024,water_02,2327.51,6524.76,2708.41,6688.01,retaining_rail,96,9
we025,water_02,2708.41,6688.01,2685.58,7063.65,retaining_rail,96,9
we026,water_02,2685.58,7063.65,3849.32,8369.62,retaining_rail,96,9
we027,water_02,3849.32,8369.62,4247.74,9849.35,retaining_rail,96,9
we028,water_02,4247.74,9849.35,3900.19,9794.93,retaining_rail,96,9
we029,water_02,3900.19,9794.93,3891.4,10256.58,retaining_rail,96,9
we030,water_02,3891.4,10256.58,3680.76,10289.92,retaining_rail,96,9
we031,water_02,3680.76,10289.92,3852.78,10465.46,retaining_rail,96,9
we032,water_02,3852.78,10465.46,4166.98,10258.34,retaining_rail,96,9
we033,water_02,4166.98,10258.34,4179.26,10569.03,retaining_rail,96,9
we034,water_02,4179.26,10569.03,3963.36,10614.66,retaining_rail,96,9
we035,water_02,3963.36,10614.66,4561.9,11271.16,retaining_rail,96,9
we036,water_02,4561.9,11271.16,4337.22,11269.4,retaining_rail,96,9
we037,water_02,4337.22,11269.4,4496.95,11490.57,retaining_rail,96,9
we038,water_02,4496.95,11490.57,5067.43,11262.4,retaining_rail,96,9
we039,water_02,5067.43,11262.4,4584.73,10997.33,retaining_rail,96,9
we040,water_02,4584.73,10997.33,4658.46,10672.6,retaining_rail,96,9
we041,water_02,4658.46,10672.6,4468.89,10554.99,retaining_rail,96,9
we042,water_02,4468.89,10554.99,4728.68,10186.39,retaining_rail,96,9
we043,water_02,4728.68,10186.39,4298.65,9340.32,retaining_rail,96,9
we044,water_02,4298.65,9340.32,5306.2,9364.92,retaining_rail,96,9
we045,water_02,5306.2,9364.92,5450.15,8808.49,retaining_rail,96,9
we046,water_02,5450.15,8808.49,5288.65,9219.23,retaining_rail,96,9
we047,water_02,5288.65,9219.23,4837.53,9338.58,retaining_rail,96,9
we048,water_02,4837.53,9338.58,4065.21,8934.84,retaining_rail,96,9
we049,water_02,4065.21,8934.84,3938.84,8313.45,retaining_rail,96,9
we050,water_02,3938.84,8313.45,3066.47,7481.42,retaining_rail,96,9
we051,water_02,3066.47,7481.42,2790.91,6665.19,retaining_rail,96,9
we052,water_02,2790.91,6665.19,2474.95,6638.86,retaining_rail,96,9
we053,water_02,2474.95,6638.86,2566.25,5747.16,retaining_rail,96,9
we054,water_02,2566.25,5747.16,2192.38,5499.65,retaining_rail,96,9
we055,water_02,2192.38,5499.65,2371.43,4929.18,retaining_rail,96,9
we056,water_02,2371.43,4929.18,2211.71,4657.11,retaining_rail,96,9
we057,water_03,5336.13,5443.56,5297.51,5601.54,retaining_rail,96,9
we058,water_03,5297.51,5601.54,5204.48,5648.93,retaining_rail,96,9
we059,water_03,5204.48,5648.93,5311.55,5942.07,retaining_rail,96,9
we060,water_03,5311.55,5942.07,5165.86,6010.52,retaining_rail,96,9
we061,water_03,5165.86,6010.52,5269.41,6193.08,retaining_rail,96,9
we062,water_03,5269.41,6193.08,5309.78,6523.08,retaining_rail,96,9
we063,water_03,5309.78,6523.08,4958.71,6663.49,retaining_rail,96,9
we064,water_03,4958.71,6663.49,5118.44,7037.38,retaining_rail,96,9
we065,water_03,5118.44,7037.38,5048.21,7523.59,retaining_rail,96,9
we066,water_03,5048.21,7523.59,5160.55,7753.54,retaining_rail,96,9
we067,water_03,5160.55,7753.54,5093.84,7943.11,retaining_rail,96,9
we068,water_03,5093.84,7943.11,5006.07,7978.22,retaining_rail,96,9
we069,water_03,5006.07,7978.22,5243.02,8646.99,retaining_rail,96,9
we070,water_03,5243.02,8646.99,5401.0,8583.81,retaining_rail,96,9
we071,water_03,5401.0,8583.81,5246.54,8350.35,retaining_rail,96,9
we072,water_03,5246.54,8350.35,5209.69,7978.22,retaining_rail,96,9
we073,water_03,5209.69,7978.22,5332.6,6554.67,retaining_rail,96,9
we074,water_03,5332.6,6554.67,5599.41,6305.42,retaining_rail,96,9
we075,water_03,5599.41,6305.42,5490.58,6135.16,retaining_rail,96,9
we076,water_03,5490.58,6135.16,5546.76,5766.54,retaining_rail,96,9
we077,water_03,5546.76,5766.54,5336.13,5443.56,retaining_rail,96,9
