route_id,point_order,x,y
bike_001,0,14149.68,2620.48
bike_001,1,14509.5,3596.44
bike_001,2,14513.72,3602.85
bike_001,3,14520.08,3606.34
bike_001,4,14526.87,3605.97
bike_001,5,14532.28,3601.84
bike_001,6,14534.85,3595.06
bike_001,7,14533.9,3587.44
bike_001,8,14174.08,2611.48
bike_001,9,14169.86,2605.07
bike_001,10,14163.5,2601.58
bike_001,11,14156.71,2601.95
bike_001,12,14151.3,2606.08
bike_001,13,14148.73,2612.86
bike_002,0,12753.59,2310.86
bike_002,1,12795.54,2566.58
bike_002,2,12743.63,2939.85
bike_002,3,12553.47,3248.05
bike_002,4,12551.03,3255.33
bike_002,5,12552.22,3262.49
bike_002,6,12556.7,3267.6
bike_002,7,12563.29,3269.3
bike_002,8,12570.21,3267.14
bike_002,9,12575.61,3261.69
bike_002,10,12768.13,2948.53
bike_002,11,12821.54,2567.02
bike_002,12,12779.25,2306.68
bike_002,13,12776.33,2299.58
bike_002,14,12770.75,2294.94
bike_002,15,12764.01,2294.02
bike_002,16,12757.92,2297.04
bike_002,17,12754.1,2303.21
bike_003,0,13419.55,2882.21
bike_003,1,13779.36,3807.27
bike_003,2,13783.7,3813.61
bike_003,3,13790.12,3816.98
bike_003,4,13796.9,3816.49
bike_003,5,13802.23,3812.27
bike_003,6,13804.68,3805.45
bike_003,7,13803.6,3797.85
bike_003,8,13443.79,2872.79
bike_003,9,13439.45,2866.45
bike_003,10,13433.03,2863.08
bike_003,11,13426.25,2863.57
bike_003,12,13420.92,2867.79
bike_003,13,13418.47,2874.61
bike_004,0,10120.54,5497.85
bike_004,1,9974.83,6431.67
bike_004,2,9975.39,6439.32
bike_004,3,9979.25,6445.46
bike_004,4,9985.37,6448.44
bike_004,5,9992.1,6447.46
bike_004,6,9997.64,6442.79
bike_004,7,10000.51,6435.67
bike_004,8,10146.22,5501.85
bike_004,9,10145.66,5494.2
bike_004,10,10141.8,5488.06
bike_004,11,10135.68,5485.08
bike_004,12,10128.95,5486.06
bike_004,13,10123.41,5490.73
bike_005,0,12225.44,5428.49
bike_005,1,13138.19,5572.44
bike_005,2,13145.85,5571.89
bike_005,3,13152.0,5568.04
bike_005,4,13154.99,5561.93
bike_005,5,13154.02,5555.2
bike_005,6,13149.36,5549.64
bike_005,7,13142.25,5546.76
bike_005,8,12229.5,5402.81
bike_005,9,12221.84,5403.36
bike_005,10,12215.69,5407.21
bike_005,11,12212.7,5413.32
bike_005,12,12213.67,5420.05
bike_005,13,12218.33,5425.61
bike_006,0,11472.07,6331.87
bike_006,1,11354.44,7183.19
bike_006,2,11355.14,7190.83
bike_006,3,11359.11,7196.91
bike_006,4,11365.27,7199.78
bike_006,5,11371.99,7198.68
bike_006,6,11377.45,7193.92
bike_006,7,11380.2,7186.75
bike_006,8,11497.83,6335.43
bike_006,9,11497.13,6327.79
bike_006,10,11493.16,6321.71
bike_006,11,11487.0,6318.84
bike_006,12,11480.28,6319.94
bike_006,13,11474.82,6324.7
bike_007,0,12256.41,4438.38
bike_007,1,12920.55,4577.85
bike_007,2,12911.34,4739.74
bike_007,3,12913.01,4747.23
bike_007,4,12917.71,4752.75
bike_007,5,12924.19,4754.82
bike_007,6,12930.71,4752.88
bike_007,7,12935.52,4747.46
bike_007,8,12937.34,4740.0
bike_007,9,12931.65,4554.35
bike_007,10,12261.77,4412.94
bike_007,11,12254.09,4413.1
bike_007,12,12247.76,4416.63
bike_007,13,12244.46,4422.58
bike_007,14,12245.08,4429.35
bike_007,15,12249.46,4435.14
bike_008,0,10373.11,6895.18
bike_008,1,10366.18,7487.02
bike_008,2,10270.45,7726.04
bike_008,3,10269.3,7733.63
bike_008,4,10271.7,7740.47
bike_008,5,10276.99,7744.74
bike_008,6,10283.77,7745.28
bike_008,7,10290.22,7741.96
bike_008,8,10294.61,7735.66
bike_008,9,10391.98,7490.22
bike_008,10,10399.11,6895.48
bike_008,11,10397.46,6887.99
bike_008,12,10392.76,6882.46
bike_008,13,10386.29,6880.38
bike_008,14,10379.76,6882.31
bike_008,15,10374.94,6887.72
bike_009,0,11554.48,6362.6
bike_009,1,11580.81,6757.36
bike_009,2,11484.51,7201.54
bike_009,3,11484.63,7209.21
bike_009,4,11488.13,7215.57
bike_009,5,11494.06,7218.9
bike_009,6,11500.83,7218.32
bike_009,7,11506.64,7213.98
bike_009,8,11509.93,7207.04
bike_009,9,11606.73,6759.52
bike_009,10,11580.42,6360.88
bike_009,11,11578.19,6353.54
bike_009,12,11573.08,6348.39
bike_009,13,11566.46,6346.82
bike_009,14,11560.11,6349.25
bike_009,15,11555.72,6355.03
bike_010,0,5609.74,9598.76
bike_010,1,5796.11,10190.8
bike_010,2,6030.9,10137.56
bike_010,3,6037.69,10133.98
bike_010,4,6041.78,10127.99
bike_010,5,6042.07,10121.19
bike_010,6,6038.49,10115.41
bike_010,7,6031.99,10112.2
bike_010,8,6024.32,10112.4
bike_010,9,5816.77,10175.0
bike_010,10,5634.56,9590.98
bike_010,11,5630.66,9584.37
bike_010,12,5624.48,9580.57
bike_010,13,5617.68,9580.6
bike_010,14,5612.08,9584.46
bike_010,15,5609.17,9591.1
bike_011,0,11241.96,7973.4
bike_011,1,11259.51,8729.04
bike_011,2,11210.12,8761.49
bike_011,3,11205.28,8767.44
bike_011,4,11203.86,8774.56
bike_011,5,11206.26,8780.92
bike_011,6,11211.82,8784.84
bike_011,7,11219.06,8785.25
bike_011,8,11226.04,8782.05
bike_011,9,11285.49,8730.24
bike_011,10,11267.96,7972.8
bike_011,11,11266.04,7965.37
bike_011,12,11261.16,7960.01
bike_011,13,11254.61,7958.15
bike_011,14,11248.16,7960.31
bike_011,15,11243.53,7965.89
bike_013,0,15385.48,5961.07
bike_013,1,14714.94,6371.79
bike_013,2,14709.48,6377.18
bike_013,3,14707.29,6384.1
bike_013,4,14708.98,6390.69
bike_013,5,14714.08,6395.19
bike_013,6,14721.24,6396.38
bike_013,7,14728.52,6393.97
bike_013,8,15399.06,5983.25
bike_013,9,15404.52,5977.86
bike_013,10,15406.71,5970.94
bike_013,11,15405.02,5964.35
bike_013,12,15399.92,5959.85
bike_013,13,15392.76,5958.66
bike_014,0,12174.77,7270.26
bike_014,1,12051.28,7627.36
bike_014,2,12072.24,8038.74
bike_014,3,12074.36,8046.11
bike_014,4,12079.39,8051.33
bike_014,5,12085.99,8053.0
bike_014,6,12092.38,8050.67
bike_014,7,12096.85,8044.96
bike_014,8,12098.2,8037.4
bike_014,9,12077.06,7630.8
bike_014,10,12199.33,7278.78
bike_014,11,12200.14,7271.14
bike_014,12,12197.43,7264.42
bike_014,13,12191.95,7260.39
bike_014,14,12185.15,7260.16
bike_014,15,12178.86,7263.77
bike_015,0,13318.68,514.5
bike_015,1,13297.59,1276.3
bike_015,2,13299.13,1283.82
bike_015,3,13303.73,1289.42
bike_015,4,13310.18,1291.6
bike_015,5,13316.73,1289.78
bike_015,6,13321.64,1284.44
bike_015,7,13323.59,1277.02
bike_015,8,13344.68,515.22
bike_015,9,13343.14,507.7
bike_015,10,13338.54,502.1
bike_015,11,13332.09,499.92
bike_015,12,13325.54,501.74
bike_015,13,13320.63,507.08
bike_017,0,14058.34,4563.22
bike_017,1,14593.7,4633.08
bike_017,2,14714.89,4742.61
bike_017,3,14721.64,4746.27
bike_017,4,14728.89,4746.35
bike_017,5,14734.7,4742.82
bike_017,6,14737.53,4736.63
bike_017,7,14736.6,4729.44
bike_017,8,14732.17,4723.17
bike_017,9,14600.6,4608.02
bike_017,10,14061.72,4537.44
bike_017,11,14054.08,4538.2
bike_017,12,14048.03,4542.21
bike_017,13,14045.21,4548.39
bike_017,14,14046.35,4555.1
bike_017,15,14051.16,4560.52
bike_019,0,15410.09,6175.2
bike_019,1,14820.3,6533.26
bike_019,2,14814.82,6538.63
bike_019,3,14812.61,6545.53
bike_019,4,14814.27,6552.13
bike_019,5,14819.36,6556.65
bike_019,6,14826.5,6557.87
bike_019,7,14833.8,6555.48
bike_019,8,15423.59,6197.42
bike_019,9,15429.07,6192.05
bike_019,10,15431.28,6185.15
bike_019,11,15429.62,6178.55
bike_019,12,15424.53,6174.03
bike_019,13,15417.39,6172.81
bike_020,0,12196.9,6338.34
bike_020,1,12165.29,7022.91
bike_020,2,12166.69,7030.46
bike_020,3,12171.19,7036.14
bike_020,4,12177.59,7038.44
bike_020,5,12184.18,7036.74
bike_020,6,12189.18,7031.5
bike_020,7,12191.27,7024.11
bike_020,8,12222.88,6339.54
bike_020,9,12221.48,6331.99
bike_020,10,12216.98,6326.31
bike_020,11,12210.58,6324.01
bike_020,12,12203.99,6325.71
bike_020,13,12198.99,6330.95
bike_022,0,11179.1,2433.53
bike_022,1,11060.0,2626.53
bike_022,2,11012.22,3044.48
bike_022,3,11013.11,3052.1
bike_022,4,11017.22,3058.08
bike_022,5,11023.45,3060.8
