lane_id,name,width,protected,direction
bike_001,Bike 001,20,false,both
bike_002,Bike 002,20,false,both
bike_003,Bike 003,20,false,both
bike_004,Bike 004,20,false,both
bike_005,Bike 005,20,false,both
bike_006,Bike 006,20,false,both
bike_007,Bike 007,20,false,both
bike_008,Bike 008,20,false,both
bike_009,Bike 009,20,false,both
bike_010,Bike 010,20,false,both
bike_011,Bike 011,20,false,both
bike_013,Bike 013,20,false,both
bike_014,Bike 014,20,false,both
bike_015,Bike 015,20,false,both
bike_017,Bike 017,20,false,both
bike_019,Bike 019,20,false,both
bike_020,Bike 020,20,false,both
bike_022,Bike 022,20,false,both
bike_024,Bike 024,20,false,both
bike_025,Bike 025,20,false,both
bike_026,Bike 026,20,false,both
bike_027,Bike 027,20,false,both
bike_028,Bike 028,20,false,both
bike_029,Bike 029,20,false,both
bike_030,Bike 030,20,false,both
bike_031,Bike 031,20,false,both
bike_033,Bike 033,20,false,both
