building_id,district,building_kind,atlas,cell,component_scale_ratio,min_allowed,max_allowed,scale_mode,status
block_building_0001,fort_lee,urban_block,compact_lot_blocks_v1.png,0,1.0182,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0002,fort_lee,urban_block,fort_lee_blocks_v1.png,3,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0003,fort_lee,urban_block,fort_lee_blocks_v1.png,7,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0004,washington_heights,urban_block,washington_heights_blocks_v1.png,3,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0005,washington_heights,urban_block,washington_heights_blocks_v1.png,2,1.083,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0006,washington_heights,urban_block,washington_heights_blocks_v1.png,11,1.0783,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0007,washington_heights,urban_block,washington_heights_blocks_v1.png,8,1.0318,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0008,washington_heights,urban_block,compact_lot_blocks_v1.png,9,0.9938,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0009,washington_heights,church_landmark,compact_lot_blocks_v1.png,15,0.88,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0010,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.8956,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0011,washington_heights,urban_block,washington_heights_blocks_v1.png,4,0.9733,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0012,washington_heights,urban_block,washington_heights_blocks_v1.png,15,1.0723,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0013,fort_lee,urban_block,compact_lot_blocks_v1.png,3,1.048,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0014,fort_lee,urban_block,compact_lot_blocks_v1.png,0,1.0182,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0015,fort_lee,urban_block,fort_lee_blocks_v1.png,9,1.0,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0016,fort_lee,urban_block,fort_lee_blocks_v1.png,13,0.9966,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0017,fort_lee,urban_block,fort_lee_blocks_v1.png,3,1.0836,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0018,fort_lee,urban_block,fort_lee_blocks_v1.png,7,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0019,washington_heights,urban_block,compact_lot_blocks_v1.png,10,1.0766,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0020,fort_lee,urban_block,fort_lee_blocks_v1.png,1,1.0104,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0021,washington_heights,urban_block,compact_lot_blocks_v1.png,14,1.0396,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0022,washington_heights,urban_block,washington_heights_blocks_v1.png,5,0.9669,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0023,washington_heights,urban_block,compact_lot_blocks_v1.png,10,1.0766,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0024,washington_heights,urban_block,washington_heights_blocks_v1.png,2,1.0,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0025,fort_lee,urban_block,fort_lee_blocks_v1.png,15,1.0946,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0026,fort_lee,urban_block,fort_lee_blocks_v1.png,11,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0027,washington_heights,urban_block,washington_heights_blocks_v1.png,3,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0028,washington_heights,urban_block,washington_heights_blocks_v1.png,11,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0029,washington_heights,urban_block,compact_lot_blocks_v1.png,14,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0030,washington_heights,urban_block,washington_heights_blocks_v1.png,9,1.024,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0031,fort_lee,urban_block,compact_lot_blocks_v1.png,4,0.9688,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0032,fort_lee,urban_block,compact_lot_blocks_v1.png,6,0.999,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0033,fort_lee,urban_block,fort_lee_blocks_v1.png,13,0.9966,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0034,fort_lee,urban_block,fort_lee_blocks_v1.png,9,1.0,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0035,washington_heights,urban_block,washington_heights_blocks_v1.png,4,0.9813,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0036,fort_lee,urban_block,fort_lee_blocks_v1.png,15,1.0946,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0037,fort_lee,urban_block,fort_lee_blocks_v1.png,12,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0038,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.8874,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0039,washington_heights,urban_block,washington_heights_blocks_v1.png,2,1.0,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0040,washington_heights,church_landmark,washington_heights_blocks_v1.png,14,0.8986,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0041,washington_heights,urban_block,compact_lot_blocks_v1.png,14,1.0396,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0042,washington_heights,urban_block,washington_heights_blocks_v1.png,5,0.9669,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0043,fort_lee,urban_block,compact_lot_blocks_v1.png,3,0.9778,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0044,fort_lee,urban_block,fort_lee_blocks_v1.png,3,1.0836,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0045,fort_lee,urban_block,fort_lee_blocks_v1.png,13,0.9966,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0046,fort_lee,urban_block,fort_lee_blocks_v1.png,7,1.0505,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0047,fort_lee,urban_block,fort_lee_blocks_v1.png,15,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0048,washington_heights,urban_block,washington_heights_blocks_v1.png,1,1.024,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0049,washington_heights,urban_block,compact_lot_blocks_v1.png,10,1.0766,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0050,washington_heights,urban_block,compact_lot_blocks_v1.png,9,0.9938,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0051,washington_heights,urban_block,washington_heights_blocks_v1.png,2,1.0,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0052,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.8874,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0053,washington_heights,urban_block,washington_heights_blocks_v1.png,10,0.9511,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0054,washington_heights,urban_block,washington_heights_blocks_v1.png,6,1.0065,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0055,washington_heights,urban_block,washington_heights_blocks_v1.png,0,1.0065,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0056,washington_heights,urban_block,compact_lot_blocks_v1.png,10,1.0766,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0057,washington_heights,urban_block,compact_lot_blocks_v1.png,9,0.9938,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0058,washington_heights,urban_block,washington_heights_blocks_v1.png,4,0.9813,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0059,washington_heights,urban_block,washington_heights_blocks_v1.png,13,0.9394,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0060,fort_lee,urban_block,fort_lee_blocks_v1.png,5,1.12,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0061,fort_lee,urban_block,fort_lee_blocks_v1.png,0,0.9931,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
block_building_0062,fort_lee,urban_block,compact_lot_blocks_v1.png,0,1.0182,0.88,1.12,whole_sprite_proxy_until_modular_pass22,pass
