building_id,district,building_kind,road_id,road_class,gap_before,gap_after,road_clearance_before,road_clearance_after,target_gap,shift_x,shift_y,shift_distance,shift_direction,frontage_class,addressed,safe_clearance,status
block_building_0001,fort_lee,urban_block,fl_north_boulevard,primary,-3.58,19.99,40.62,57.39,10.0,-0.0,-13.58,13.58,away_from_street,ordinary_urban,true,true,pass
block_building_0002,fort_lee,urban_block,fl_north_boulevard,primary,11.62,10.0,55.82,54.2,10.0,-0.07,1.62,1.62,toward_street,ordinary_urban,true,true,pass
block_building_0003,fort_lee,urban_block,fl_center_avenue,primary,11.62,10.0,55.82,54.2,10.0,1.62,0.0,1.62,toward_street,ordinary_urban,true,true,pass
block_building_0004,washington_heights,urban_block,wh_pinehurst_avenue,residential,54.86,10.15,85.46,40.75,10.0,3.73,44.71,44.86,toward_street,ordinary_urban,true,true,pass
block_building_0005,washington_heights,urban_block,wh_broadway,primary,40.84,6.0,85.04,50.2,6.0,-34.37,5.73,34.84,toward_street,ordinary_urban,true,true,pass
block_building_0006,washington_heights,urban_block,wh_amsterdam_avenue,secondary,33.24,6.0,70.64,43.4,6.0,27.24,0.0,27.24,toward_street,ordinary_urban,true,true,pass
block_building_0007,washington_heights,urban_block,wh_north_crosstown,primary,15.34,6.0,59.54,50.2,6.0,0.62,9.32,9.34,toward_street,ordinary_urban,true,true,pass
block_building_0008,washington_heights,urban_block,wh_northwest_local,residential,-11.05,-7.01,19.55,23.59,10.0,1.05,-21.03,21.05,away_from_street,ordinary_urban,true,true,pass
block_building_0009,washington_heights,church_landmark,wh_pinehurst_avenue,residential,13.0,18.24,43.6,48.84,34.0,0.0,-16.0,16.0,corner_2d_repair,intentional_setback,true,true,pass
block_building_0010,washington_heights,urban_block,wh_north_crosstown,primary,16.01,6.0,60.21,50.2,6.0,-0.37,-10.0,10.01,toward_street,ordinary_urban,true,true,pass
block_building_0011,washington_heights,urban_block,wh_northeast_local,residential,-4.23,10.0,26.37,40.6,10.0,0.57,-14.22,14.23,away_from_street,ordinary_urban,true,true,pass
block_building_0012,washington_heights,urban_block,wh_northeast_local,residential,54.86,10.0,85.46,40.6,10.0,0.0,44.86,44.86,toward_street,ordinary_urban,true,true,pass
block_building_0013,fort_lee,urban_block,fl_west_avenue,secondary,18.04,10.03,55.44,47.43,10.0,8.01,0.67,8.04,toward_street,ordinary_urban,true,true,pass
block_building_0014,fort_lee,urban_block,fl_bluff_lane,residential,39.66,16.0,70.26,46.6,16.0,0.0,23.66,23.66,toward_street,ordinary_urban,true,true,pass
block_building_0015,fort_lee,urban_block,fl_northwest_local,residential,0.19,16.0,30.79,46.6,16.0,-1.21,-15.76,15.81,away_from_street,ordinary_urban,true,true,pass
block_building_0016,fort_lee,urban_block,fl_northwest_local,residential,-0.46,16.0,30.14,46.6,16.0,1.17,-16.42,16.46,away_from_street,ordinary_urban,true,true,pass
block_building_0017,fort_lee,urban_block,fl_sylvan_road,tertiary,10.32,16.0,44.32,50.0,16.0,-5.64,0.71,5.68,away_from_street,ordinary_urban,true,true,pass
block_building_0018,fort_lee,urban_block,fl_northeast_local,residential,54.86,16.0,85.46,46.6,16.0,0.0,38.86,38.86,toward_street,ordinary_urban,true,true,pass
block_building_0019,washington_heights,urban_block,wh_northwest_local,residential,26.42,10.0,57.02,40.6,10.0,0.82,-16.4,16.42,toward_street,ordinary_urban,true,true,pass
block_building_0020,fort_lee,urban_block,fl_bluff_lane,residential,0.19,16.0,30.79,46.6,16.0,1.21,-15.76,15.81,away_from_street,ordinary_urban,true,true,pass
block_building_0021,washington_heights,urban_block,wh_181st_street,secondary,-2.41,6.0,34.99,43.4,6.0,0.38,-8.41,8.41,away_from_street,ordinary_urban,true,true,pass
block_building_0022,washington_heights,urban_block,wh_northeast_local,residential,26.46,10.0,57.06,40.6,10.0,0.66,-16.45,16.46,toward_street,ordinary_urban,true,true,pass
block_building_0023,washington_heights,urban_block,wh_181st_street,secondary,4.46,6.0,41.86,43.4,6.0,0.06,-1.54,1.54,away_from_street,ordinary_urban,true,true,pass
block_building_0024,washington_heights,urban_block,wh_181st_street,secondary,37.48,6.0,74.88,43.4,6.0,2.41,31.38,31.48,toward_street,ordinary_urban,true,true,pass
block_building_0025,fort_lee,urban_block,fl_northeast_local,residential,54.86,16.0,85.46,46.6,16.0,0.0,-38.86,38.86,toward_street,ordinary_urban,true,true,pass
block_building_0026,fort_lee,urban_block,fl_hudson_terrace,secondary,7.32,10.0,44.72,47.4,10.0,-2.68,-0.13,2.68,away_from_street,ordinary_urban,true,true,pass
block_building_0027,washington_heights,urban_block,wh_midtown_local,residential,57.16,12.45,87.76,43.05,10.0,42.49,20.47,47.16,toward_street,ordinary_urban,true,true,pass
block_building_0028,washington_heights,urban_block,wh_gwb_crosstown,primary,11.62,6.0,55.82,50.2,6.0,0.0,5.62,5.62,toward_street,ordinary_urban,true,true,pass
block_building_0029,washington_heights,urban_block,wh_midtown_local,residential,41.27,10.0,71.87,40.6,10.0,1.73,31.22,31.27,toward_street,ordinary_urban,true,true,pass
block_building_0030,washington_heights,urban_block,wh_midtown_local,residential,-2.38,10.0,28.22,40.6,10.0,0.95,-12.35,12.38,away_from_street,ordinary_urban,true,true,pass
block_building_0031,fort_lee,urban_block,fl_bluff_lane,residential,46.06,16.0,76.66,46.6,16.0,0.0,-30.06,30.06,toward_street,ordinary_urban,true,true,pass
block_building_0032,fort_lee,urban_block,fl_west_avenue,secondary,2.82,10.44,47.02,47.84,10.0,14.0,0.0,14.0,corner_2d_repair,ordinary_urban,true,true,pass
block_building_0033,fort_lee,urban_block,fl_west_avenue,secondary,33.24,10.0,70.64,47.4,10.0,-23.24,0.0,23.24,toward_street,ordinary_urban,true,true,pass
block_building_0034,fort_lee,urban_block,fl_center_avenue,primary,11.62,10.24,55.82,54.44,10.0,1.38,-0.85,1.62,toward_street,ordinary_urban,true,true,pass
block_building_0035,washington_heights,urban_block,wh_midtown_local,residential,28.9,10.0,59.5,40.6,10.0,1.35,18.85,18.9,toward_street,ordinary_urban,true,true,pass
block_building_0036,fort_lee,urban_block,fl_sylvan_road,tertiary,51.46,16.0,85.46,50.0,16.0,35.46,0.0,35.46,toward_street,ordinary_urban,true,true,pass
block_building_0037,fort_lee,urban_block,fl_sylvan_road,tertiary,51.46,16.0,85.46,50.0,16.0,-35.46,0.0,35.46,toward_street,ordinary_urban,true,true,pass
block_building_0038,washington_heights,urban_block,wh_gwb_crosstown,primary,11.62,6.0,55.82,50.2,6.0,0.0,5.62,5.62,toward_street,ordinary_urban,true,true,pass
block_building_0039,washington_heights,urban_block,wh_gwb_crosstown,primary,11.62,6.0,55.82,50.2,6.0,0.0,5.62,5.62,toward_street,ordinary_urban,true,true,pass
block_building_0040,washington_heights,church_landmark,wh_midtown_local,residential,61.95,34.0,92.55,64.6,34.0,-1.99,-27.88,27.95,toward_street,intentional_setback,true,true,pass
block_building_0041,washington_heights,urban_block,wh_midtown_local,residential,28.65,10.0,59.25,40.6,10.0,1.55,-18.59,18.65,toward_street,ordinary_urban,true,true,pass
block_building_0042,washington_heights,urban_block,wh_midtown_local,residential,33.15,10.0,63.75,40.6,10.0,-1.28,-23.11,23.15,toward_street,ordinary_urban,true,true,pass
block_building_0043,fort_lee,urban_block,fl_southwest_local,residential,39.66,16.0,70.26,46.6,16.0,0.0,23.66,23.66,toward_street,ordinary_urban,true,true,pass
block_building_0044,fort_lee,urban_block,fl_southwest_local,residential,-1.02,16.0,29.58,46.6,16.0,-1.13,-16.99,17.02,away_from_street,ordinary_urban,true,true,pass
