building_id,district,building_kind,shape_variant,footprint_fill_ratio,core_visual_w,core_visual_h,footprint_w,footprint_h,scale_mode
block_building_0001,fort_lee,urban_block,chamfered,0.8931,358.41,395.06,358.4,614.4,fixed_component_modular_extension_v1
block_building_0002,fort_lee,urban_block,courtyard,0.7653,669.76,526.4,684.0,560.0,fixed_component_modular_extension_v1
block_building_0003,fort_lee,urban_block,u_shape,0.7523,665.28,517.44,684.0,584.0,fixed_component_modular_extension_v1
block_building_0004,washington_heights,urban_block,l_shape,0.6621,734.72,519.68,840.0,520.0,fixed_component_modular_extension_v1
block_building_0005,washington_heights,urban_block,l_shape,0.6596,701.78,496.01,716.0,496.0,fixed_component_modular_extension_v1
block_building_0006,washington_heights,urban_block,stepped,0.8825,715.99,483.08,716.0,520.0,fixed_component_modular_extension_v1
block_building_0007,washington_heights,urban_block,courtyard,0.766,647.97,464.31,648.0,520.0,fixed_component_modular_extension_v1
block_building_0008,washington_heights,urban_block,u_shape,0.7582,385.59,296.15,385.6,601.6,fixed_component_modular_extension_v1
block_building_0009,washington_heights,church_landmark,cruciform_church,0.4996,410.08,311.52,410.08,614.4,fixed_component_modular_extension_v1
block_building_0010,washington_heights,urban_block,u_shape,0.7513,524.82,390.48,524.8,460.8,fixed_component_modular_extension_v1
block_building_0011,washington_heights,urban_block,l_shape,0.6552,583.98,418.52,584.0,712.0,fixed_component_modular_extension_v1
block_building_0012,washington_heights,urban_block,perimeter,0.9041,712.01,471.81,712.0,688.0,fixed_component_modular_extension_v1
block_building_0013,fort_lee,urban_block,courtyard,0.7723,358.42,358.42,358.4,763.2,fixed_component_modular_extension_v1
block_building_0014,fort_lee,urban_block,chamfered,0.903,358.41,395.06,358.4,763.2,fixed_component_modular_extension_v1
block_building_0015,fort_lee,urban_block,stepped,0.87,584.0,440.0,584.0,584.0,fixed_component_modular_extension_v1
block_building_0016,fort_lee,urban_block,chamfered,0.8705,584.01,454.45,584.0,560.0,fixed_component_modular_extension_v1
