stairwell_id,building_id,kind,side,x,y,from_level,intermediate_level,to_level,interaction_keys,transition_mode
stair_0001,block_building_0001,exterior_fire_stair,north,224.0,2074.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0002,block_building_0002,exterior_fire_stair,south,1042.0,2710.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0003,block_building_0003,exterior_fire_stair,east,2134.0,2400.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0004,block_building_0004,exterior_fire_stair,north,11360.0,2090.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0005,block_building_0005,exterior_fire_stair,south,12514.0,2646.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0006,block_building_0006,exterior_fire_stair,south,13278.0,2646.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0007,block_building_0007,exterior_fire_stair,south,16000.0,2646.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0008,block_building_0008,exterior_fire_stair,south,11148.0,3550.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0009,block_building_0009,exterior_fire_stair,west,11546.8,3232.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0010,block_building_0010,exterior_fire_stair,north,12480.0,2919.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0011,block_building_0011,exterior_fire_stair,south,14240.0,3670.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0012,block_building_0012,exterior_fire_stair,north,15968.0,2946.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0013,block_building_0013,exterior_fire_stair,west,26.8,3370.4,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0014,block_building_0014,exterior_fire_stair,west,26.8,4181.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0015,block_building_0015,exterior_fire_stair,west,682.0,3296.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0016,block_building_0016,exterior_fire_stair,south,1824.0,3606.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0017,block_building_0017,exterior_fire_stair,west,2474.0,3424.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0018,block_building_0018,exterior_fire_stair,south,3904.0,3798.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0019,block_building_0019,exterior_fire_stair,north,11104.0,3687.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0020,block_building_0020,exterior_fire_stair,south,992.0,4630.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0021,block_building_0021,exterior_fire_stair,south,11776.0,4574.8,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0022,block_building_0022,exterior_fire_stair,north,14240.0,3818.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0023,block_building_0023,exterior_fire_stair,north,15072.0,3879.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0024,block_building_0024,exterior_fire_stair,west,15658.0,4204.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0025,block_building_0025,exterior_fire_stair,west,2474.0,4544.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0026,block_building_0026,exterior_fire_stair,south,3936.0,5078.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0027,block_building_0027,exterior_fire_stair,east,12054.0,5090.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0028,block_building_0028,exterior_fire_stair,north,11488.0,5414.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0029,block_building_0029,exterior_fire_stair,south,14368.0,5272.4,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0030,block_building_0030,exterior_fire_stair,north,16000.0,4775.6,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0031,block_building_0031,exterior_fire_stair,south,268.0,5402.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0032,block_building_0032,exterior_fire_stair,west,33.2,5730.4,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0033,block_building_0033,exterior_fire_stair,east,1302.0,5440.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0034,block_building_0034,exterior_fire_stair,north,1888.0,4842.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0035,block_building_0035,exterior_fire_stair,west,12327.6,5036.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0036,block_building_0036,exterior_fire_stair,north,2816.0,5290.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
stair_0037,block_building_0037,exterior_fire_stair,north,3776.0,5314.0,0,1,2,SPACE;C,authored_manual_stairwell_v1
