id,x,y,w,h
block_building_0001,84.8,2119.22,278.4,534.4
block_building_0002,739.93,2173.62,604.0,480.0
block_building_0003,1473.62,2148.0,604.0,504.0
block_building_0004,10983.73,2192.71,760.0,440.0
block_building_0005,12161.63,2177.73,636.0,416.0
block_building_0006,12987.24,2148.0,636.0,440.0
block_building_0007,15716.62,2157.32,568.0,440.0
block_building_0008,10996.25,2950.17,305.6,521.6
block_building_0009,11578.96,2948.8,330.08,534.4
block_building_0010,12257.23,2967.6,444.8,380.8
block_building_0011,13988.57,2965.78,504.0,632.0
block_building_0012,15652.0,3048.86,632.0,608.0
block_building_0013,92.81,3029.47,278.4,683.2
block_building_0014,84.8,3863.66,278.4,683.2
block_building_0015,738.79,3028.24,504.0,504.0
block_building_0016,1573.17,3051.58,504.0,480.0
block_building_0017,2526.36,3108.71,568.0,632.0
block_building_0018,3492.0,3146.86,824.0,632.0
block_building_0019,10914.42,3729.2,380.8,700.8
block_building_0020,741.21,3860.24,504.0,696.0
block_building_0021,11611.58,3794.79,329.6,713.6
block_building_0022,13988.66,3859.55,504.0,568.0
block_building_0023,14881.66,3936.06,380.8,572.8
block_building_0024,15718.41,3995.38,568.0,480.0
block_building_0025,2532.0,4029.14,568.0,952.0
block_building_0026,3489.32,4067.87,888.0,952.0
block_building_0027,11046.49,4856.47,992.0,508.0
block_building_0028,10980.0,5477.62,1016.0,508.0
block_building_0029,14179.33,4864.82,380.8,380.8
block_building_0030,15714.55,4821.25,572.8,380.8
block_building_0031,115.2,4797.14,305.6,516.8
block_building_0032,105.2,5472.0,329.6,516.8
block_building_0033,716.76,4900.0,504.0,1080.0
block_building_0034,1637.38,4899.15,504.0,1080.0
block_building_0035,12386.95,4876.45,508.8,356.8
block_building_0036,2567.46,5348.0,568.0,632.0
block_building_0037,3392.54,5372.0,696.0,608.0
block_building_0038,14884.0,5545.62,440.0,440.0
block_building_0039,15716.0,5545.62,568.0,440.0
block_building_0040,12447.61,5533.72,444.8,356.8
block_building_0041,13276.75,5512.61,329.6,457.6
block_building_0042,14050.72,5516.89,504.0,440.0
block_building_0043,108.8,6380.46,254.4,534.4
block_building_0044,738.87,6355.01,568.0,504.0
block_building_0045,1637.17,6355.58,504.0,504.0
block_building_0046,2611.9,6372.9,544.0,760.0
block_building_0047,3556.0,6474.86,696.0,696.0
block_building_0048,10977.6,6412.06,636.8,380.8
block_building_0049,12577.6,6412.06,380.8,380.8
block_building_0050,13299.2,6399.26,305.6,393.6
block_building_0051,13990.48,6394.32,568.0,504.0
block_building_0052,14884.14,6373.25,440.0,440.0
block_building_0053,15780.38,6391.12,504.0,416.0
block_building_0054,10980.0,7103.24,540.0,440.0
block_building_0055,11648.0,7103.24,540.0,440.0
block_building_0056,12577.6,7031.14,380.8,380.8
block_building_0057,13393.8,7048.12,305.6,457.6
block_building_0058,14878.63,7110.89,508.8,380.8
block_building_0059,15774.24,7091.67,521.6,329.6
block_building_0060,701.25,7185.21,608.0,824.0
block_building_0061,1597.14,7201.6,572.8,380.8
block_building_0062,92.84,7188.8,278.4,747.2
block_building_0063,108.8,8050.42,254.4,747.2
block_building_0064,14036.8,7288.84,534.4,254.4
block_building_0065,2583.09,7459.19,632.0,568.0
block_building_0066,3556.0,7421.14,824.0,696.0
block_building_0067,15774.14,7820.97,521.6,305.6
block_building_0068,10980.55,7829.59,572.0,440.0
block_building_0069,11679.52,7856.48,572.0,440.0
block_building_0070,12699.62,7844.4,329.6,457.6
block_building_0071,13368.87,7825.54,356.8,444.8
block_building_0072,14052.75,7834.22,504.0,440.0
block_building_0073,14839.14,7828.8,534.4,278.4
block_building_0074,740.0,8381.62,568.0,416.0
block_building_0075,1652.11,8478.46,457.6,329.6
block_building_0076,2507.76,8478.29,713.6,329.6
block_building_0077,14948.0,8449.62,440.0,416.0
block_building_0078,15771.2,8475.2,521.6,329.6
block_building_0079,3565.2,8485.2,777.6,329.6
block_building_0080,10964.8,8611.22,619.2,254.4
block_building_0081,11706.0,8562.8,619.2,278.4
block_building_0082,13396.55,8527.38,278.4,342.4
block_building_0083,14027.32,8597.59,598.4,278.4
block_building_0084,12741.89,8622.29,342.4,254.4
block_building_0085,94.93,9173.31,278.4,982.4
block_building_0086,707.57,9186.38,636.0,952.0
block_building_0087,1505.62,9212.0,636.0,928.0
block_building_0088,2594.25,9189.91,672.0,952.0
block_building_0089,3652.43,9186.38,760.0,952.0
block_building_0090,15842.11,9163.49,440.0,952.0
block_building_0091,10949.82,9277.59,636.0,864.0
block_building_0092,11768.48,9249.42,636.0,888.0
block_building_0093,12818.18,9253.88,824.0,824.0
block_building_0094,14083.34,9255.44,572.0,888.0
block_building_0095,14832.57,9275.13,572.0,864.0
