polygon_id,point_order,x,y
green_01,0,1536,7680
green_01,1,2048,7680
green_01,2,2048,8320
green_01,3,1536,8320
green_02,0,13248,2944
green_02,1,13760,2944
green_02,2,13760,3456
green_02,3,13248,3456
green_03,0,4586.59,6394.92
green_03,1,4419.84,6461.62
green_03,2,4412.81,6800.39
green_03,3,4481.26,6996.99
green_03,4,4637.49,6903.96
green_03,5,4825.31,6686.31
green_03,6,4665.58,6566.94
green_04,0,4382.99,5834.97
green_04,1,4347.89,5849.01
green_04,2,4375.97,5970.13
green_04,3,4325.06,6021.03
green_04,4,4428.62,6152.68
green_04,5,4351.39,6061.41
green_04,6,4267.14,6054.38
green_04,7,4247.83,6082.47
green_04,8,4286.44,6229.91
green_04,9,4339.1,6259.76
green_04,10,4372.45,6419.49
green_04,11,4583.09,6335.24
green_04,12,4570.8,6126.36
green_05,0,4565.59,3797.07
green_05,1,4546.28,3926.96
green_05,2,4604.21,3995.42
green_05,3,4588.41,4032.28
green_05,4,4502.4,4046.32
green_05,5,4511.17,4144.62
green_05,6,4820.11,4153.4
green_05,7,4830.64,4077.92
green_05,8,4869.26,4072.66
green_05,9,4813.09,3881.33
green_05,10,4663.89,3890.1
green_05,11,4644.58,3765.47
green_06,0,13094.61,4478.33
green_06,1,13157.79,4839.93
green_06,2,13305.24,4801.32
green_06,3,13359.65,4861.0
green_06,4,13177.1,4964.56
green_06,5,13264.86,5234.88
green_06,6,13696.66,5398.13
green_06,7,13707.19,5526.27
green_06,8,13775.64,5519.25
green_06,9,13730.02,5150.63
green_06,10,13777.41,5141.86
green_06,11,13745.82,5011.96
green_06,12,13693.16,5033.03
green_06,13,13738.8,4994.41
green_06,14,13700.18,4897.87
green_06,15,13756.35,4885.58
green_06,16,13628.22,4590.69
green_06,17,13719.5,4666.17
green_06,18,13833.58,4976.86
green_06,19,13784.43,5006.7
green_06,20,13786.18,5494.67
green_06,21,13949.42,5470.1
green_06,22,13926.6,5387.6
green_06,23,14017.88,5310.37
green_06,24,13981.03,5141.86
green_06,25,13673.86,4450.26
green_06,26,13526.42,4387.07
green_06,27,13401.79,4457.28
green_06,28,13472.0,4531.0
green_06,29,13538.7,4494.14
green_06,30,13503.6,4559.09
green_07,0,12847.14,3376.0
green_07,1,12741.82,3621.74
green_07,2,12643.52,3732.32
green_07,3,12620.69,3853.43
green_07,4,12815.53,4009.66
green_07,5,12998.08,3906.1
green_07,6,13087.6,3900.84
green_07,7,13124.46,3967.54
green_07,8,13150.79,3957.01
green_07,9,13101.65,3885.04
green_07,10,13259.63,3821.85
green_07,11,13256.12,3762.17
green_07,12,13198.19,3744.62
green_07,13,13177.13,3793.77
green_07,14,13045.48,3744.62
green_07,15,13043.73,3714.78
green_07,16,13194.68,3684.94
green_07,17,13185.91,3637.55
green_07,18,13113.94,3584.88
green_07,19,13078.84,3497.12
green_07,20,12973.52,3437.44
green_07,21,12929.64,3454.99
green_08,0,13166.6,3462.01
green_08,1,13131.5,3476.06
green_08,2,13129.74,3548.02
green_08,3,13254.37,3630.53
green_08,4,13247.34,3663.88
green_08,5,13300.0,3642.81
green_08,6,13336.86,3709.52
green_08,7,13284.2,3781.48
green_08,8,13382.5,3874.52
green_08,9,13256.11,3965.79
green_08,10,13266.64,3992.12
green_08,11,13364.94,3983.35
green_08,12,13386.0,4036.0
green_08,13,13270.15,4102.7
green_08,14,13287.7,4197.49
green_08,15,13249.09,4202.76
green_08,16,13271.9,4183.45
green_08,17,13235.05,4116.75
green_08,18,12992.81,4223.81
green_08,19,13045.47,4355.46
green_08,20,13277.16,4425.68
green_08,21,13321.05,4408.13
green_08,22,13284.19,4290.52
green_08,23,13352.64,4385.31
green_08,24,13468.5,4318.61
green_08,25,13493.07,4125.53
green_08,26,13319.31,3563.83
green_09,0,11988.73,6193.24
green_09,1,11972.93,6230.1
green_09,2,11734.2,6295.04
green_09,3,11932.54,6765.47
green_09,4,12011.53,6682.97
green_09,5,12008.03,6572.39
green_09,6,12060.69,6449.52
green_10,0,12992.85,2798.5
green_10,1,12922.62,3132.01
green_10,2,12848.9,3304.03
green_10,3,13006.87,3342.65
green_10,4,13089.37,3421.64
green_10,5,13157.83,3414.62
green_10,6,13208.73,3363.72
green_10,7,13171.87,3347.92
green_10,8,13163.1,3249.62
green_10,9,13147.3,3286.48
green_10,10,13119.22,3267.17
green_10,11,13064.81,3054.78
green_10,12,13115.71,3105.69
green_10,13,13061.3,3046.0
green_10,14,13077.1,2958.24
