id,name,kind,entry_x,entry_y,building_id,door_hint
house_01,Empty House,blank_house,1344.0,960.0,house_01,south
house_02,Empty House,blank_house,1216.0,2112.0,house_02,south
house_03,Empty House,blank_house,1216.0,5056.0,house_03,south
house_04,Empty House,blank_house,1344.0,7104.0,house_04,south
house_05,Empty House,blank_house,1344.0,9280.0,house_05,south
house_06,Empty House,blank_house,2240.0,1472.0,house_06,south
house_07,Empty House,blank_house,2240.0,2752.0,house_07,south
house_08,Empty House,blank_house,2112.0,5568.0,house_08,south
house_09,Empty House,blank_house,2240.0,8128.0,house_09,south
house_10,Empty House,blank_house,2240.0,9920.0,house_10,south
house_11,Empty House,blank_house,3648.0,2112.0,house_11,south
house_12,Empty House,blank_house,3648.0,4032.0,house_12,south
house_13,Empty House,blank_house,3648.0,7104.0,house_13,south
house_14,Empty House,blank_house,3648.0,8640.0,house_14,south
house_15,Empty House,blank_house,5056.0,960.0,house_15,south
house_16,Empty House,blank_house,5056.0,2752.0,house_16,south
house_17,Empty House,blank_house,4928.0,5568.0,house_17,south
house_18,Empty House,blank_house,5056.0,8640.0,house_18,south
house_19,Empty House,blank_house,10688.0,960.0,house_19,south
house_20,Empty House,blank_house,11968.0,960.0,house_20,south
house_21,Empty House,blank_house,11968.0,2880.0,house_21,south
house_22,Empty House,blank_house,12480.0,3904.0,house_22,south
house_23,Empty House,blank_house,13504.0,960.0,house_23,south
house_24,Empty House,blank_house,13504.0,4416.0,house_24,south
house_25,Empty House,blank_house,15424.0,960.0,house_25,south
house_26,Empty House,blank_house,14912.0,4416.0,house_26,south
house_27,Empty House,blank_house,15552.0,5824.0,house_27,south
house_28,Empty House,blank_house,10688.0,9920.0,house_28,south
house_29,Empty House,blank_house,12480.0,7232.0,house_29,south
house_30,Empty House,blank_house,12480.0,9920.0,house_30,south
house_31,Empty House,blank_house,13504.0,9920.0,house_31,south
house_32,Empty House,blank_house,15552.0,7232.0,house_32,south
