id,building_id,district,kind,x,y,w,h,rotation,placement_rule
frontage_0001,block_building_0001,fort_lee,frontage_wear,419.0,2400.0,30.39,442.37,90,facade_apron_wear_pass19b_v1
frontage_0002,block_building_0002,fort_lee,frontage_wear,1042.0,2704.48,492.48,24.0,0,facade_apron_wear_pass19b_v1
frontage_0003,block_building_0003,fort_lee,frontage_wear,1774.0,2712.0,492.48,38.46,0,facade_apron_wear_pass19b_v1
frontage_0004,block_building_0003,fort_lee,service_patch,1658.48,2725.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0005,block_building_0003,fort_lee,stoop,1771.2,2706.0,32,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0006,block_building_0003,fort_lee,planter,1883.92,2715.0,24,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0007,block_building_0003,fort_lee,litter_cluster,1997.68,2726.0,10,6,114,subtle_frontage_litter_pass19b_v1
frontage_0008,block_building_0004,washington_heights,frontage_wear,11360.0,2650.98,604.8,44.19,0,facade_apron_wear_pass19b_v1
frontage_0009,block_building_0005,washington_heights,frontage_wear,12514.0,2651.65,515.52,45.48,0,facade_apron_wear_pass19b_v1
frontage_0010,block_building_0005,washington_heights,service_patch,12388.52,2655.0,44,28,0,district_frontage_cluster_pass19b_v1:south
frontage_0011,block_building_0005,washington_heights,basement_grate,12507.0,2655.0,32,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0012,block_building_0005,washington_heights,awning,12625.48,2655.0,42,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0013,block_building_0005,washington_heights,litter_cluster,12600.31,2662.0,8,10,4,subtle_frontage_litter_pass19b_v1
frontage_0014,block_building_0006,washington_heights,frontage_wear,13278.0,2640.48,515.52,24.0,0,facade_apron_wear_pass19b_v1
frontage_0015,block_building_0006,washington_heights,sandwich_board,13203.68,2645.0,13,18,0,district_frontage_cluster_pass19b_v1:south
frontage_0016,block_building_0006,washington_heights,trash_bin,13362.12,2640.0,15,15,0,district_frontage_cluster_pass19b_v1:south
frontage_0017,block_building_0006,washington_heights,litter_cluster,13047.83,2649.0,11,9,39,subtle_frontage_litter_pass19b_v1
frontage_0018,block_building_0007,washington_heights,frontage_wear,16000.0,2640.64,466.56,24.31,0,facade_apron_wear_pass19b_v1
frontage_0019,block_building_0008,washington_heights,frontage_wear,11353.28,3232.0,24.0,433.15,90,facade_apron_wear_pass19b_v1
frontage_0020,block_building_0009,washington_heights,frontage_wear,11536.82,3232.0,53.81,442.37,90,facade_apron_wear_pass19b_v1
frontage_0021,block_building_0009,washington_heights,service_patch,11527.8,3109.14,28,44,90,district_frontage_cluster_pass19b_v1:west
frontage_0022,block_building_0009,washington_heights,basement_grate,11537.8,3175.47,15,32,90,district_frontage_cluster_pass19b_v1:west
frontage_0023,block_building_0009,washington_heights,awning,11539.8,3241.8,18,42,90,district_frontage_cluster_pass19b_v1:west
frontage_0024,block_building_0009,washington_heights,railing,11545.8,3308.13,7,46,90,district_frontage_cluster_pass19b_v1:west
frontage_0025,block_building_0009,washington_heights,utility_box,11551.8,3374.46,15,18,90,district_frontage_cluster_pass19b_v1:west
frontage_0026,block_building_0009,washington_heights,litter_cluster,11541.8,3053.2,12,6,144,subtle_frontage_litter_pass19b_v1
frontage_0027,block_building_0009,washington_heights,litter_cluster,11518.8,3146.66,11,11,167,subtle_frontage_litter_pass19b_v1
frontage_0028,block_building_0010,washington_heights,frontage_wear,12480.0,2925.12,377.86,24.0,0,facade_apron_wear_pass19b_v1
