id,x,y,size,district,cosmetic_atlas,cosmetic_cell,placement_rule
tree_0001,467.65,2501.45,142,fort_lee,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0002,620.28,3334.36,178,fort_lee,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0003,467.62,4197.09,166,fort_lee,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0004,652.55,5162.67,154,fort_lee,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0005,499.45,5653.33,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0006,467.65,6586.55,142,fort_lee,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0007,588.55,7584.0,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0008,467.68,8549.87,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0009,631.12,9390.49,154,fort_lee,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0010,456.88,9809.51,166,fort_lee,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0011,2335.58,2464.0,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0012,2176.7,3303.33,142,fort_lee,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0013,2399.58,4202.67,178,fort_lee,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0014,2208.42,5664.0,166,fort_lee,approved_sidewalk_trees_v1.png,2,final_sidewalk_tree_pit_pass19_v2
tree_0015,2431.34,6585.19,154,fort_lee,approved_sidewalk_trees_v1.png,9,final_sidewalk_tree_pit_pass19_v2
tree_0016,2431.34,8582.81,178,fort_lee,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0017,2208.42,9632.0,166,fort_lee,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0018,3172.56,2459.43,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0019,3323.16,3384.61,154,fort_lee,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0020,3247.12,4327.69,142,fort_lee,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0021,3344.88,4760.31,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0022,3323.62,5664.0,178,fort_lee,approved_sidewalk_trees_v1.png,15,final_sidewalk_tree_pit_pass19_v2
tree_0023,3268.74,6726.58,166,fort_lee,approved_sidewalk_trees_v1.png,6,final_sidewalk_tree_pit_pass19_v2
tree_0024,3419.5,7811.72,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
tree_0025,3333.54,8651.69,142,fort_lee,approved_sidewalk_trees_v1.png,4,final_sidewalk_tree_pit_pass19_v2
tree_0026,3494.21,9389.64,178,fort_lee,approved_sidewalk_trees_v1.png,11,final_sidewalk_tree_pit_pass19_v2
tree_0027,3353.79,9810.36,142,fort_lee,approved_sidewalk_trees_v1.png,0,final_sidewalk_tree_pit_pass19_v2
tree_0028,4588.32,2469.87,178,fort_lee,approved_sidewalk_trees_v1.png,7,final_sidewalk_tree_pit_pass19_v2
tree_0029,4451.79,3399.15,166,fort_lee,approved_sidewalk_trees_v1.png,14,final_sidewalk_tree_pit_pass19_v2
tree_0030,4631.12,4334.49,154,fort_lee,approved_sidewalk_trees_v1.png,5,final_sidewalk_tree_pit_pass19_v2
tree_0031,4456.88,4753.51,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0032,4483.83,5671.62,142,fort_lee,approved_sidewalk_trees_v1.png,12,final_sidewalk_tree_pit_pass19_v2
tree_0033,4652.43,6724.25,178,fort_lee,approved_sidewalk_trees_v1.png,3,final_sidewalk_tree_pit_pass19_v2
tree_0034,4499.6,7812.77,166,fort_lee,approved_sidewalk_trees_v1.png,10,final_sidewalk_tree_pit_pass19_v2
tree_0035,4652.17,8647.62,154,fort_lee,approved_sidewalk_trees_v1.png,1,final_sidewalk_tree_pit_pass19_v2
tree_0036,4488.88,9390.49,142,fort_lee,approved_sidewalk_trees_v1.png,8,final_sidewalk_tree_pit_pass19_v2
tree_0037,4663.12,9809.51,154,fort_lee,approved_sidewalk_trees_v1.png,13,final_sidewalk_tree_pit_pass19_v2
