landmark_id,kind,subject_id,district,x,y,w,h,visual_role,placement_rule
gwb_west_portal,bridge_portal,gwb_authored,bridge,4450,5900,420,488,gwb_west_gateway,hand_authored_gwb_corridor_pass24_v1
gwb_west_tower,bridge_tower,gwb_authored,bridge,6336,5750,360,788,gwb_west_tower_support,hand_authored_gwb_corridor_pass24_v1
gwb_east_tower,bridge_tower,gwb_authored,bridge,8896,5750,360,788,gwb_east_tower_support,hand_authored_gwb_corridor_pass24_v1
gwb_east_portal,bridge_portal,gwb_authored,bridge,10560,5900,420,488,gwb_east_gateway,hand_authored_gwb_corridor_pass24_v1
fort_lee_main_corner,commercial_corner,block_building_0045,fort_lee,1597.17,6315.58,584.0,584.0,fort_lee_gwb_commercial_corner,selected_nearest_final_building_pass24_v1
fort_lee_bluff_complex,bluff_complex,block_building_0066,fort_lee,3516.0,7381.14,904.0,776.0,fort_lee_bluff_transition,selected_nearest_final_building_pass24_v1
fort_lee_residential_row,residential_row,block_building_0075,fort_lee,1612.11,8438.46,537.6,409.6,fort_lee_distinctive_residential_row,selected_nearest_final_building_pass24_v1
wh_broadway_181_corner,commercial_corner,block_building_0035,washington_heights,12346.95,4836.45,588.8,436.8,washington_heights_broadway_181_corner,selected_nearest_final_building_pass24_v1
wh_gwb_broadway_corner,dense_corner,block_building_0049,washington_heights,12537.6,6372.06,460.8,460.8,washington_heights_gwb_broadway_corner,selected_nearest_final_building_pass24_v1
wh_168th_roof_row,residential_row,block_building_0064,washington_heights,13996.8,7248.84,614.4,334.4,washington_heights_168th_roof_row,selected_nearest_final_building_pass24_v1
church_landmark_01,church,block_building_0009,washington_heights,11538.96,2908.8,410.08,614.4,old_parish_church,explicit_church_landmark_pass24_v1
church_landmark_02,church,block_building_0040,washington_heights,12407.61,5493.72,524.8,436.8,stone_steeple_church,explicit_church_landmark_pass24_v1
church_landmark_03,church,block_building_0067,washington_heights,15734.14,7780.97,601.6,385.6,courtyard_basilica,explicit_church_landmark_pass24_v1
