route_id,point_order,x,y
walk_00,0,9550.82,7311.21
walk_00,1,9484.95,7417.4
walk_00,2,9437.15,7524.55
walk_00,3,9410.66,7629.9
walk_00,4,9407.02,7732.25
walk_00,5,9468.56,8459.85
walk_00,6,9238.04,9552.45
walk_00,7,9238.93,9593.77
walk_00,8,9257.93,9627.88
walk_00,9,9289.95,9645.64
walk_00,10,9326.43,9642.3
walk_00,11,9357.57,9618.75
walk_00,12,9375.04,9581.29
walk_00,13,9607.96,8472.75
walk_00,14,9546.68,7722.39
walk_00,15,9549.18,7650.22
walk_00,16,9569.21,7571.03
walk_00,17,9608.31,7483.58
walk_00,18,9669.7,7385.15
walk_00,19,9683.0,7346.02
walk_00,20,9676.8,7307.46
walk_00,21,9652.77,7279.82
walk_00,22,9617.36,7270.5
walk_00,23,9580.04,7281.99
walk_01,0,14176.06,5999.97
walk_01,1,14212.36,5998.95
walk_01,2,14248.33,5997.77
walk_01,3,14283.57,5996.28
walk_01,4,14318.15,5994.65
walk_01,5,15661.55,5924.56
walk_01,6,16028.55,5976.56
walk_01,7,16069.71,5972.83
walk_01,8,16102.44,5951.53
walk_01,9,16117.96,5918.36
walk_01,10,16112.11,5882.2
walk_01,11,16086.47,5852.75
walk_01,12,16047.91,5837.9
walk_01,13,15660.13,5784.56
walk_01,14,14310.87,5854.83
walk_01,15,14277.31,5856.42
walk_01,16,14243.09,5857.87
walk_01,17,14208.1,5859.01
walk_01,18,14172.12,5860.03
walk_01,19,14132.15,5870.54
walk_01,20,14103.42,5896.98
walk_01,21,14093.62,5932.27
walk_01,22,14105.39,5966.95
walk_01,23,14135.57,5991.73
walk_02,0,1756.0,8522.57
walk_02,1,2581.77,8771.13
walk_02,2,3467.58,8656.59
walk_02,3,3532.32,8625.29
walk_02,4,3563.21,8561.04
walk_02,5,3561.08,8498.76
walk_02,6,3544.62,8438.58
walk_02,7,3524.77,8402.33
walk_02,8,3492.18,8380.83
walk_02,9,3455.57,8379.84
walk_02,10,3424.75,8399.63
walk_02,11,3407.99,8434.89
walk_02,12,3409.76,8476.18
walk_02,13,3423.28,8523.52
walk_02,14,3424.73,8540.44
walk_02,15,3432.72,8526.89
walk_02,16,3448.18,8517.95
walk_02,17,2592.71,8631.55
walk_02,18,1796.6,8388.59
walk_02,19,1755.36,8385.89
walk_02,20,1719.73,8401.86
walk_02,21,1699.26,8432.23
walk_02,22,1699.43,8468.86
walk_02,23,1720.2,8501.92
walk_03,0,12128.15,6048.19
walk_03,1,12974.2,5908.64
walk_03,2,13647.05,6107.18
walk_03,3,13688.65,6132.8
walk_03,4,13724.68,6195.23
walk_03,5,13750.21,6306.35
walk_03,6,13758.37,6468.96
walk_03,7,13769.81,6508.67
walk_03,8,13796.91,6536.78
walk_03,9,13832.42,6545.75
walk_03,10,13866.82,6533.18
walk_03,11,13890.89,6502.44
walk_03,12,13898.19,6461.76
walk_03,13,13889.05,6288.41
walk_03,14,13855.72,6145.95
walk_03,15,13790.89,6037.16
walk_03,16,13690.07,5973.96
walk_03,17,12979.74,5768.74
walk_03,18,12105.59,5910.01
walk_03,19,12067.38,5925.76
walk_03,20,12042.43,5955.79
walk_03,21,12037.42,5992.07
walk_03,22,12053.7,6024.87
walk_03,23,12086.91,6045.41
walk_04,0,13971.25,2917.39
walk_04,1,13729.83,3602.99
walk_04,2,13741.55,4082.36
walk_04,3,13586.09,4178.46
walk_04,4,13559.66,4207.72
walk_04,5,13546.31,4244.65
walk_04,6,13545.87,4279.36
walk_04,7,13551.22,4304.4
walk_04,8,13569.35,4341.54
walk_04,9,13600.9,4364.54
walk_04,10,13637.42,4367.24
walk_04,11,13669.13,4348.91
walk_04,12,13687.53,4314.47
walk_04,13,13687.68,4273.14
walk_04,14,13684.83,4262.38
walk_04,15,13684.53,4266.89
walk_04,16,13679.8,4279.6
walk_04,17,13670.37,4290.26
walk_04,18,13876.51,4119.56
walk_04,19,13867.19,3630.01
walk_04,20,14103.25,2964.03
walk_04,21,14107.82,2922.95
walk_04,22,14093.47,2886.63
walk_04,23,14064.06,2864.81
walk_04,24,14027.47,2863.32
walk_04,25,13993.5,2882.57
walk_05,0,12138.38,4318.66
walk_05,1,12033.01,5735.35
walk_05,2,12032.11,5800.93
walk_05,3,12039.09,5867.31
walk_05,4,12053.76,5933.82
walk_05,5,12074.7,5997.16
walk_05,6,12096.28,6032.41
walk_05,7,12129.89,6052.29
walk_05,8,12166.5,6051.5
walk_05,9,12196.32,6030.23
walk_05,10,12211.35,5994.19
walk_05,11,12207.56,5953.04
walk_05,12,12188.68,5896.48
walk_05,13,12177.25,5844.75
walk_05,14,12171.97,5794.47
walk_05,15,12172.65,5745.41
walk_05,16,12278.0,4329.04
walk_05,17,12271.63,4288.21
walk_05,18,12248.26,4256.92
walk_05,19,12214.16,4243.57
walk_05,20,12178.46,4251.73
walk_05,21,12150.72,4279.21
walk_06,0,12254.17,4376.63
walk_06,1,12293.75,4341.63
walk_06,2,12319.62,4327.79
walk_06,3,12334.9,4325.26
walk_06,4,12349.4,4329.62
walk_06,5,12615.81,4457.09
