spawn_id,route_id,start_fraction,asset_index,appearance_index,speed_scale
npc_001,walk_fort_lee,0.0,0,0,1
npc_002,walk_heights,0.0,1,1,1
npc_003,walk_fort_lee,0.019,2,2,1
npc_004,walk_heights,0.019,3,3,1
npc_005,walk_fort_lee,0.037,4,4,1
npc_006,walk_heights,0.037,5,5,1
npc_007,walk_fort_lee,0.056,6,6,1
npc_008,walk_heights,0.056,7,7,1
npc_009,walk_fort_lee,0.074,8,8,1
npc_010,walk_heights,0.074,9,9,1
npc_011,walk_fort_lee,0.093,10,10,1
npc_012,walk_heights,0.093,11,11,1
npc_013,walk_fort_lee,0.111,12,12,1
npc_014,walk_heights,0.111,13,13,1
npc_015,walk_fort_lee,0.13,14,14,1
npc_016,walk_heights,0.13,15,15,1
npc_017,walk_fort_lee,0.148,16,16,1
npc_018,walk_heights,0.148,17,17,1
npc_019,walk_fort_lee,0.167,18,18,1
npc_020,walk_heights,0.167,19,19,1
npc_021,walk_fort_lee,0.185,20,20,1
npc_022,walk_heights,0.185,21,21,1
npc_023,walk_fort_lee,0.204,22,22,1
npc_024,walk_heights,0.204,23,23,1
npc_025,walk_fort_lee,0.222,24,24,1
npc_026,walk_heights,0.222,25,25,1
npc_027,walk_fort_lee,0.241,26,26,1
npc_028,walk_heights,0.241,27,27,1
npc_029,walk_fort_lee,0.259,28,28,1
npc_030,walk_heights,0.259,29,29,1
npc_031,walk_fort_lee,0.278,30,30,1
npc_032,walk_heights,0.278,31,31,1
npc_033,walk_fort_lee,0.296,32,32,1
npc_034,walk_heights,0.296,33,33,1
npc_035,walk_fort_lee,0.315,34,34,1
npc_036,walk_heights,0.315,35,35,1
npc_037,walk_fort_lee,0.333,36,36,1
npc_038,walk_heights,0.333,37,37,1
npc_039,walk_fort_lee,0.352,38,38,1
npc_040,walk_heights,0.352,39,39,1
npc_041,walk_fort_lee,0.37,40,40,1
npc_042,walk_heights,0.37,41,41,1
npc_043,walk_fort_lee,0.389,42,42,1
npc_044,walk_heights,0.389,43,43,1
npc_045,walk_fort_lee,0.407,44,44,1
npc_046,walk_heights,0.407,45,45,1
npc_047,walk_fort_lee,0.426,46,46,1
npc_048,walk_heights,0.426,47,47,1
npc_049,walk_fort_lee,0.444,48,48,1
npc_050,walk_heights,0.444,49,49,1
npc_051,walk_fort_lee,0.463,50,50,1
npc_052,walk_heights,0.463,51,51,1
npc_053,walk_fort_lee,0.481,52,52,1
npc_054,walk_heights,0.481,53,53,1
npc_055,walk_fort_lee,0.5,54,54,1
npc_056,walk_heights,0.5,55,55,1
npc_057,walk_fort_lee,0.519,56,56,1
npc_058,walk_heights,0.519,57,57,1
npc_059,walk_fort_lee,0.537,58,58,1
npc_060,walk_heights,0.537,59,59,1
npc_061,walk_fort_lee,0.556,60,60,1
npc_062,walk_heights,0.556,61,61,1
npc_063,walk_fort_lee,0.574,62,62,1
npc_064,walk_heights,0.574,63,63,1
npc_065,walk_fort_lee,0.593,64,64,1
npc_066,walk_heights,0.593,65,65,1
npc_067,walk_fort_lee,0.611,66,66,1
npc_068,walk_heights,0.611,67,67,1
npc_069,walk_fort_lee,0.63,68,68,1
npc_070,walk_heights,0.63,69,69,1
npc_071,walk_fort_lee,0.648,70,70,1
npc_072,walk_heights,0.648,71,71,1
npc_073,walk_fort_lee,0.667,72,72,1
npc_074,walk_heights,0.667,73,73,1
npc_075,walk_fort_lee,0.685,74,74,1
npc_076,walk_heights,0.685,75,75,1
npc_077,walk_fort_lee,0.704,76,76,1
npc_078,walk_heights,0.704,77,77,1
npc_079,walk_fort_lee,0.722,78,78,1
npc_080,walk_heights,0.722,79,79,1
npc_081,walk_fort_lee,0.741,80,80,1
npc_082,walk_heights,0.741,81,81,1
npc_083,walk_fort_lee,0.759,82,82,1
npc_084,walk_heights,0.759,83,83,1
npc_085,walk_fort_lee,0.778,84,84,1
npc_086,walk_heights,0.778,85,85,1
npc_087,walk_fort_lee,0.796,86,86,1
npc_088,walk_heights,0.796,87,87,1
npc_089,walk_fort_lee,0.815,88,88,1
npc_090,walk_heights,0.815,89,89,1
npc_091,walk_fort_lee,0.833,90,90,1
npc_092,walk_heights,0.833,91,91,1
npc_093,walk_fort_lee,0.852,92,92,1
npc_094,walk_heights,0.852,93,93,1
npc_095,walk_fort_lee,0.87,94,94,1
npc_096,walk_heights,0.87,95,95,1
npc_097,walk_fort_lee,0.889,96,96,1
npc_098,walk_heights,0.889,97,97,1
npc_099,walk_fort_lee,0.907,98,98,1
npc_100,walk_heights,0.907,99,99,1
npc_101,walk_fort_lee,0.926,100,100,1
npc_102,walk_heights,0.926,101,101,1
npc_103,walk_fort_lee,0.944,102,102,1
npc_104,walk_heights,0.944,103,103,1
npc_105,walk_fort_lee,0.963,104,104,1
npc_106,walk_heights,0.963,105,105,1
npc_107,walk_fort_lee,0.981,106,106,1
npc_108,walk_heights,0.981,107,107,1
