road_id,point_order,x,y
fl_hudson_terrace,0,6100,0
fl_hudson_terrace,1,6100,10240
fl_lemoine,0,4700,0
fl_lemoine,1,4700,10240
fl_center,0,3300,0
fl_center,1,3300,10240
fl_park,0,1900,0
fl_park,1,1900,10240
fl_fletcher,0,900,0
fl_fletcher,1,900,10240
fl_bridge_plaza_n,0,0,3000
fl_bridge_plaza_n,1,6100,3000
fl_main,0,0,4300
fl_main,1,6100,4300
fl_bruce_reynolds,0,0,5900
fl_bruce_reynolds,1,6100,5900
fl_center_cross,0,0,7350
fl_center_cross,1,6100,7350
ny_riverside,0,10250,0
ny_riverside,1,10250,10240
ny_broadway,0,11600,0
ny_broadway,1,11600,10240
ny_fort_washington,0,13100,0
ny_fort_washington,1,13100,10240
ny_amsterdam,0,14500,0
ny_amsterdam,1,14500,10240
ny_w181,0,10250,1800
ny_w181,1,16384,1800
ny_w178,0,10250,3100
ny_w178,1,16384,3100
ny_w168,0,10250,4700
ny_w168,1,16384,4700
ny_w120,0,10250,7500
ny_w120,1,16384,7500
ny_w116,0,10250,8800
ny_w116,1,16384,8800
gwb,0,6100,3560
gwb,1,10250,3560
