sidewalk_id,road_id,side,width
fl_hudson_terrace_left,fl_hudson_terrace,left,75
fl_hudson_terrace_right,fl_hudson_terrace,right,75
fl_lemoine_left,fl_lemoine,left,75
fl_lemoine_right,fl_lemoine,right,75
fl_center_left,fl_center,left,75
fl_center_right,fl_center,right,75
fl_park_left,fl_park,left,75
fl_park_right,fl_park,right,75
fl_fletcher_left,fl_fletcher,left,75
fl_fletcher_right,fl_fletcher,right,75
fl_bridge_plaza_n_left,fl_bridge_plaza_n,left,75
fl_bridge_plaza_n_right,fl_bridge_plaza_n,right,75
fl_main_left,fl_main,left,75
fl_main_right,fl_main,right,75
fl_bruce_reynolds_left,fl_bruce_reynolds,left,75
fl_bruce_reynolds_right,fl_bruce_reynolds,right,75
fl_center_cross_left,fl_center_cross,left,75
fl_center_cross_right,fl_center_cross,right,75
ny_riverside_left,ny_riverside,left,75
ny_riverside_right,ny_riverside,right,75
ny_broadway_left,ny_broadway,left,75
ny_broadway_right,ny_broadway,right,75
ny_fort_washington_left,ny_fort_washington,left,75
ny_fort_washington_right,ny_fort_washington,right,75
ny_amsterdam_left,ny_amsterdam,left,75
ny_amsterdam_right,ny_amsterdam,right,75
ny_w181_left,ny_w181,left,75
ny_w181_right,ny_w181,right,75
ny_w178_left,ny_w178,left,75
ny_w178_right,ny_w178,right,75
ny_w168_left,ny_w168,left,75
ny_w168_right,ny_w168,right,75
ny_w120_left,ny_w120,left,75
ny_w120_right,ny_w120,right,75
ny_w116_left,ny_w116,left,75
ny_w116_right,ny_w116,right,75
gwb_left,gwb,left,75
gwb_right,gwb,right,75
