spawn_id,route_id,start_fraction,asset_index,appearance_index,speed_scale
traffic_01,traffic_fort_lee,0.0,0,0,1
traffic_02,traffic_heights,0.0,1,1,1
traffic_03,traffic_gwb,0.0,2,2,1
traffic_04,traffic_fort_lee,0.1,3,3,1
traffic_05,traffic_heights,0.1,4,4,1
traffic_06,traffic_gwb,0.1,5,5,1
traffic_07,traffic_fort_lee,0.2,6,6,1
traffic_08,traffic_heights,0.2,7,7,1
traffic_09,traffic_gwb,0.2,8,8,1
traffic_10,traffic_fort_lee,0.3,9,9,1
traffic_11,traffic_heights,0.3,10,10,1
traffic_12,traffic_gwb,0.3,11,11,1
traffic_13,traffic_fort_lee,0.4,12,12,1
traffic_14,traffic_heights,0.4,13,13,1
traffic_15,traffic_gwb,0.4,14,14,1
traffic_16,traffic_fort_lee,0.5,15,15,1
traffic_17,traffic_heights,0.5,16,16,1
traffic_18,traffic_gwb,0.5,17,17,1
traffic_19,traffic_fort_lee,0.6,18,18,1
traffic_20,traffic_heights,0.6,19,19,1
traffic_21,traffic_gwb,0.6,20,20,1
traffic_22,traffic_fort_lee,0.7,21,21,1
traffic_23,traffic_heights,0.7,22,22,1
traffic_24,traffic_gwb,0.7,23,23,1
traffic_25,traffic_fort_lee,0.8,24,24,1
traffic_26,traffic_heights,0.8,25,25,1
traffic_27,traffic_gwb,0.8,26,26,1
traffic_28,traffic_fort_lee,0.9,27,27,1
