metric,value,target,status,notes
building_count,95,95,pass,
unique_visual_signatures,95,>=80,pass,
most_used_signature_share,0.0105,<=0.10,pass,
nearest_neighbor_duplicate_pairs,0,<=3,pass,
component_scale_failures,0,0,pass,
ordinary_frontage_addressed_share,1.0000,>=0.80,pass,
road_safe_buildings,95,95,pass,
sidewalk_gap_min,-7.01,report,pass,
sidewalk_gap_median,10.0,report,pass,
sidewalk_gap_p90,16.0,report,pass,
sidewalk_gap_max,19.99,report,pass,
intentional_setback_rows,3,report,pass,
accidental_frontage_failures,0,0,pass,
irregular_ordinary_massing_count,75,>=65,pass,
rectangular_ordinary_massing_share,0.1848,<=0.28,pass,
roof_family_variety,7,>=6,pass,
street_detail_rows,501,>=180,pass,
street_detail_kind_count,14,>=12,pass,
recognizable_landmark_groups,12,8..12,pass,
water_non_bridge_violations,0,0,pass,
road_segments,157,157,pass,
angled_road_segments,96,96,pass,
t_junctions,23,23,pass,
crossings,242,242,pass,
church_landmark_variants,3,3,pass,
single_map_visual_candidate,1,1,pass,Pass 25 audits the sole Fort Lee-GWB-Washington Heights world candidate
